name,english
SF1_F1_H01,"So I went to Multan from the top, so he..."
SF1_F2_H02,"""I have fixed the camera on me"""
SF1_F3_H03,So now a lot.
SF1_F4_H04,There was a very long break; now I'm tired of talking and talking. I'm saying talk tomorrow.
SF1_F5_H05,The way to take a break
SF1_F6_H06,"""Please turn on the anchor, the grass is growing."""
SF1_F7_H07,"So it seems that, friend, such a scale."
SF1_F8_H08,"Shakeel, Urdu, and Sara often when we talk to people."
SF1_F9_H09,I will not say at all that whoever is listening.
SF1_F10_H010,"Stop eating meat if you have seen water, after that we will..."
SF1_F11_H011,"""One, this is the word"""
SF1_F12_H012,"It is used a lot, my friend, in this regard."
SF2_F1_H013,Mohammad Amir's packing
SF2_F2_H014,"""The package was running and it ended and I said"""
SF3_F1_H015,Or has it ever happened as if something big...
SF3_F2_H016,"The music is playing, breaking news, I just opened my mouth."
SF4_F1_H017,"""They always call me on Hurriyat."""
SF4_F2_H018,And mother says that you are not coming this Eid either.
SF4_F3_H019,"It was a very long break, now I forget tiredness."
SF4_F4_H020,"I keep saying that black clouds are gathering, black clouds are coming."
SF5_F1_H021,I am having a political discussion with Mom.
SF5_F2_H022,"She is insistently arguing that no, I will tell."
SF5_F3_H023,"""My mother complains that I have given up."""
SF5_F4_H024,"""If you don't eat meat, you might develop iron deficiency."""
SF6_F1_H025,"""I started to show off, I said I don't have time."""
SF6_F2_H026,Where will I make clothes from? What will I do with this? Then I'll…
SF6_F3_H027,"Then I said, don't know about the early morning."
SF6_F4_H028,Are you in the mood for this kind of mischief or not?
SF6_F5_H029,"""Our kitchen utensils were export quality."""
SF6_F6_H030,"They were not there, and obviously, they were boys; they did not know what to keep."
SF6_F7_H031,"When Humai and Ayesha had come, what I had..."
SF6_F8_H032,The one who made the pancake had turned to ashes.
SF6_F9_H033,I had eaten leftovers from one site.
SF6_F10_H034,"But it wasn't my fault, they were the kids from our kitchen export."
SF6_F11_H035,I don't feel like getting up and running at seven in the morning.
SF6_F12_H036,"""And then my life will be destroyed, like whatever will have happened."""
SF6_F13_H037,"""No, they are homeopathic medicines that are beneficial."""
SF6_F14_H038,Do not cause harm.
SF7_F1_H039,She just agrees there; her agreeing is a mistake.
SF7_F2_H040,"Understand this, take him out now, must lift him up."
SF7_F3_H041,"Look at me, yes yes yes yes I said."
SF7_F4_H042,What is happening is that it is doing something new for the patients.
SF7_F5_H043,Music
SF7_F6_H044,"It has happened, if this is wisdom, then the heart does not engage."
SF8_F1_H045,There will sometimes be someone shouting in a trance.
SF8_F2_H046,"They must be saying one day he will listen, yes, and I am speaking about the sniffing of all Ashwani's."
SF9_F1_N01,They have engaged in politics from the beginning.
SF9_F2_N02,"They have done the politics of work, not development."
SF9_F3_N03,"Mashallah, whatever is."
SF9_F4_N04,The treatment that women are receiving is also increasing.
SF10_F1_S01,"If death is an increase, then why?"
SF10_F2_S02,"""I am such a death that the world will remember."""
SF11_F1_S03,But haven't found out yet.
SF11_F2_S04,We are not finding out.
SF11_F3_S05,"""If people pray in torn clothes, just imagine."""
SF11_F4_S06,"""You should see their faces."""
SM1_F1_A01,"And in it, it is said, he says."
SM1_F2_A02,For many changes
SM1_F3_A03,Video
SM1_F4_A04,"""The Nation Is Our Country"""
SM1_F5_A05,"""When the third life passes"""
SM1_F6_A06,The report by Chaalees Partha Sacha says that these forty...
SM1_F7_A07,This primarily belonged to the Turks and some...
SM1_F8_A08,It was a dress made of curtains.
SM1_F9_A09,To me
SM1_F10_A010,"""Oh God, why is there such nervousness of this type?"""
SM1_F11_A011,"""Me"" or ""to me"""
SM1_F12_A012,I have not exaggerated; I have presented the speeches of Quaid-e-Azam.
SM1_F13_A013,Felt
SM1_F14_A014,"""The department is rectify our country."""
SM1_F15_A015,Pakistan's
SM1_F16_A016,"""This action is the second best action in the world."""
SM1_F17_A017,"""All the department circles that were"""
SM1_F18_A018,The entire name of this department was made by the English.
SM1_F19_A019,Department of Islamic Studies
SM1_F20_A020,Construction and preserving it for Allama Muhammad Asad.
SM1_F21_A021,I made it bad and Lama always for my this
SM1_F22_A022,Is a button a stork button?
SM2_F1_A023,The medical book is read all over the world for a hundred years.
SM2_F2_A024,That too was Islam when Medina became the center of wisdom.
SM2_F3_A025,When Madinat al-Hikmah was built in Baghdad in which
SM2_F4_A026,Cartography mapping and astronomy of the whole world
SM2_F5_A027,Their argument is always about which difference.
SM2_F6_A028,Kamran will implement jurisprudence in this.
SM2_F7_A029,Hazrat Nizamuddin Auliya Baba Farmani
SM2_F8_A030,"Friedrich believes that Chishti were also present under him, Babi Islam."
SM2_F9_A031,Too big modern role modern
SM2_F10_A032,"If you show us in the last three hundred years, then we will talk to you."
SM2_F11_A033,"""You, who are the sorrows of separation."""
SM2_F12_A034,Not a single Iqbal scattered throughout the world.
SM2_F13_A035,A religious religious
SM2_F14_A036,Terrorists are between these two groups in Pakistan.
