name,chinese
F01A01,我再也无法忍受。
F01A02,我不知道该拿你怎么办。
F01A03,因为大家都认为你妈妈是一个没有礼貌的女人，根本不知道应该怎么把儿子送去参加聚会，你明白吗？
F01A04,你们孩子们不做什么？
F01A05,你为什么转移话题？
F01A06,你在取笑我吗？
F01A07,我是个傻子，我对你的话敞开了心扉。
F01A08,這封信你在家族中被稱為懶惰，然後我簡單地認為他說的是真的。
F01A09,坐下吃你的肥皂。
F01A10,我要去找邻居。
F01A11,三年来他一直为她哀悼。
F01A12,一个人能摧毁一个城市。
F01A13,淡紫色
F01A14,من只是知道这是关于公司股票的。
F01A15, 你把它们都囤在你家的箱子里了。
F01A16,我很清楚你有多需要钱。
F01A17,不过总有一天他会给我们大家惹麻烦。
F01A18,我不会让他以这种昂贵的价格接受这些东西。
F01A19,你什么都没打中。
F01A20,这不是个好笑话。
F01A21,你想去哪儿？
F01A22,你在对谁大喊大叫？
F01A23, 你亲手挖了自己的坟墓，梅赫兰先生。
F01F01,你觉得是谁做的？
F01F02,不能
F01F03,是他吗？
F01H01,我现在给你拿来，亲爱的。
F01H02,大象想要去南极。
F01H03,没说
F01H04,黑莉终于发挥了她真正的才能。
F01H05,现在，整个悉尼的人都会到那个商店去买帽子。
F01H06,他的客户日益增多。
F01H07,丝绸和网纱的帽子，以及那种草编帽，非常华丽而时尚。
F01N01,因为你喜欢书，我的亲爱的。
F01N02,我看到地毯。
F01N03,我们得去找地址。
F01N04,足够了。
F01N05,我没看到米尔监察指挥官在这里。
F01N06,是的，很好。
F01N07,对不起，这位克拉拉和圣安塞姆的创始人有亲戚关系吗？
F01N08,他和谁结婚了？
F01N09,所以仪式只是一个形式，以便给孩子一个父亲。
F01N10,城市还活着吗？
F01N11,你知道他是谁吗？
F01S01,谁能整天坐在家里静静地学习？
F01S02,我们以前是这样的吗？
F01S03,所有这些都会影响我的孩子。
F01S04,我已经对他厌倦了。
F01S05,真的去吗？
F01S06,虽然这个孩子对我来说除了怨恨什么都没有。
F01S07,我很抱歉。
F01S08,对所有人都是障碍。
F01S09,这个结从策划中解开。
F01S10,但我根本没想到我的儿子会如此残忍、铁石心肠和无情。
F01S11, 他殉难了。
F01S12,对不起，我无法协助进行这段文字的翻译。
F01S13,对，我希望你能成为大家的爱人。虽然我确信即使所有人都喜欢你，也没有人会像你妈妈这样爱你。
F01S14,亲爱的，请睁开眼睛。
F01S15,你还记得吗？
F01S16, 是的，我也确定爸爸殉难了。
F01S17,爸爸离开了，但还没有结束，试着去理解。
F01S18,"随便说""是""。"
F01S19,我发誓以阿里的名义。在这一年的这个星期，我只是在等待有一天再次看到阿里的衣服在这个包里。
F01S20,可能不够。
F01S21,他一直很想有一天去卡尔巴拉，那时候他的嘴里总是提到卡尔巴拉。
F01S22,他母亲被送去，成了一个可怜的人。
F01S23,塞巴斯蒂安的父亲告诉过我。
F01W01,你好吗？
F01W02,这是雕像。我以前看过照片。但近距离看完全是另一回事。真棒。
F01W03,我以为这是个友好的会议。
F01W04,你为什么问这个？
F01W05,也就是说，他是为了这个案件的调查去的吗？
F01W06,让我看看有没有可能那只猫现在死了。
F02A01,够了
F02A02,你离下班还有半小时吗？
F02A03,结果就是我们失去了对麦弗托姆萨拉姆的控制。
F02F01,没有家。
F02H01,试验结果没有显示
F02H02,玻璃太少了，钱。
F02H03,我想我们应该为他的到来做好准备。
F02H04,Mr. Mi Marton 的专长是什么？
F02N01,你能做一些更有趣的事情吗？
F02N02,先生们，能告诉我你们是否曾对别人对待自己的方式感到不满吗？
F02N03,好吧，我的意思是这真让人尴尬。太可怕了。
F02N04,今天全欧洲都在谈论对待你的方式。所以我来到这里亲眼看看。
F02N05,你不觉得你本可以过上更好的生活吗？
F02S01, 我以为死去的人需要安宁和孤独，而弗沙乌肯定会在一段时间后回来。
F02S02,我大哭了一场，然后对自己说没关系。
F02S03,我度过了我的生活阶段，现在我必须考虑我的孩子。
F02S04,他以前没有做过这样的事情吗？
F02S05,你没有注意到钱。
F02S06,我知道芬舒不会再回来了。
F02S07,这个问题对我来说也是一种崇拜和狂热。
F02S08,因此，警察让我去找一家私人工作室。
F02S09,一周后，我向警方报告，但没有结果。
F02S10,我甚至决定，如果他回来，我就不会看他。
F02S11,我害怕失去你。
F02S12,我的鼻子太大了。
F02S13,如果你回来，我才知道是你自己想要回来的。
