name,chinese
F_01_OISHI_S_1_ANGRY_1,看到蜂巢，小狗在吠叫。
F_01_OISHI_S_1_ANGRY_2,看到蜂窝，小狗在汪汪叫。
F_01_OISHI_S_1_ANGRY_3,“妈妈的自行车看到小狗汪汪叫。”
F_01_OISHI_S_1_ANGRY_4,蜜蜂的蜂巢让狗吠叫。
F_01_OISHI_S_1_ANGRY_5,看到蜜蜂巢，小狗汪汪叫。
F_01_OISHI_S_1_DISGUST_1,蜜蜂在蜂巢旁边嗡嗡地叫。
F_01_OISHI_S_1_DISGUST_2,蜜蜂巢穴让山雀发出叽叽喳喳的声音。
F_01_OISHI_S_1_DISGUST_3,看到蜂巢，小狗正在汪汪叫。
F_01_OISHI_S_1_DISGUST_4,蜂群的蜜蜂展开了翅膀，正在嗡嗡叫。
F_01_OISHI_S_1_DISGUST_5,蜜蜂看到蜂房，忙忙碌碌地叫着。
F_01_OISHI_S_1_FEAR_1,蜜蜂的巢前小狗在汪汪叫。
F_01_OISHI_S_1_FEAR_2,蜜蜂的蜂房看起来像是正在唱歌。
F_01_OISHI_S_1_FEAR_3,看到蜂巢，鸡高高兴兴地叫着。
F_01_OISHI_S_1_FEAR_4,看到蜜蜂的蜂巢，小狗汪汪叫。
F_01_OISHI_S_1_FEAR_5,小狗看到蜂窝汪汪叫。
F_01_OISHI_S_1_HAPPY_1,狗看到蜂巢而汪汪叫。
F_01_OISHI_S_1_HAPPY_2,看到魚尾，雞咕咕叫。
F_01_OISHI_S_1_HAPPY_3,狗看到蜂巢正在汪汪叫。
F_01_OISHI_S_1_HAPPY_4,狗看到鱼的块正在流口水。
F_01_OISHI_S_1_HAPPY_5,看到蜜蜂蜂巢，小狗在汪汪叫。
F_01_OISHI_S_1_NEUTRAL_1,看到蜂巢，小狗在汪汪叫。
F_01_OISHI_S_1_NEUTRAL_2,看到蜂巢后，小狗汪汪叫。
F_01_OISHI_S_1_NEUTRAL_3,小狗看到蜂巢在汪汪叫。
F_01_OISHI_S_1_NEUTRAL_4,狗看到蜂巢在汪汪叫。
F_01_OISHI_S_1_NEUTRAL_5,看到蜜蜂蜂窝，小狗在汪汪叫。
F_01_OISHI_S_1_SAD_1,蜜蜂的噪音让小狗汪汪叫。
F_01_OISHI_S_1_SAD_2,蜜蜂的巢让母鸡咯咯叫。
F_01_OISHI_S_1_SAD_3,蜜蜂叮咬后，小鸡正唧唧喳喳叫着。
F_01_OISHI_S_1_SAD_4,看到蜂巢，小鸡叽叽喳喳。
F_01_OISHI_S_1_SAD_5,看到蜜蜂的刺，狗在呜呜叫。
F_01_OISHI_S_1_SURPRISE_1,看到鱼饼后，小狗开始汪汪叫。
F_01_OISHI_S_1_SURPRISE_2,看到蜂巢后，考科开始快步跑。
F_01_OISHI_S_1_SURPRISE_3,叔叔的职业引得小狗汪汪叫。
F_01_OISHI_S_1_SURPRISE_4,小狗看到曼切的伞在吠叫。
F_01_OISHI_S_1_SURPRISE_5,叔叔的蛋糕引得狗吠叫。
F_01_OISHI_S_2_ANGRY_1,你把一切都搞砸了。
F_01_OISHI_S_2_ANGRY_2,你把所有东西都搞得一团糟。
F_01_OISHI_S_2_ANGRY_3,你把所有东西都搞混了。
F_01_OISHI_S_2_ANGRY_4,你改变了一切。
F_01_OISHI_S_2_ANGRY_5,你翻天覆地地改变了一切。
F_01_OISHI_S_2_DISGUST_1,你把整个情况改变了。
F_01_OISHI_S_2_DISGUST_2,你把一切都弄乱了。
F_01_OISHI_S_2_DISGUST_3,你把一切都弄乱了。
F_01_OISHI_S_2_DISGUST_4,你把蛇翻过来了。
F_01_OISHI_S_2_DISGUST_5,你把一切都弄得一团糟。
F_01_OISHI_S_2_FEAR_1,你已经把所有货盘整理好了。
F_01_OISHI_S_2_FEAR_2,你把一切都搞砸了。
F_01_OISHI_S_2_FEAR_3,你把一切都弄得一团糟。
F_01_OISHI_S_2_FEAR_4,你完全颠覆了一切。
F_01_OISHI_S_2_FEAR_5,你把事情搞砸了。
F_01_OISHI_S_2_HAPPY_1,你把一切都弄得乱七八糟。
F_01_OISHI_S_2_HAPPY_2,你把一切都弄乱了。
F_01_OISHI_S_2_HAPPY_3,你把一切都搞砸了。
F_01_OISHI_S_2_HAPPY_4,你把一切都搞砸了。
F_01_OISHI_S_2_HAPPY_5,你把一切都弄得一团糟。
F_01_OISHI_S_2_NEUTRAL_1,你把一切都搞砸了。
F_01_OISHI_S_2_NEUTRAL_2,你把一切都搞砸了。
F_01_OISHI_S_2_NEUTRAL_3,你把一切都搞砸了。
F_01_OISHI_S_2_NEUTRAL_4,你把一切都搞砸了。
F_01_OISHI_S_2_NEUTRAL_5,你把一切都搞乱了。
F_01_OISHI_S_2_SAD_1,你把一切都弄得乱七八糟。
F_01_OISHI_S_2_SAD_2,你把一切都搞砸了。
F_01_OISHI_S_2_SAD_3,你把蛇翻过来了。
F_01_OISHI_S_2_SAD_4,你把一切都弄得乱七八糟了。
F_01_OISHI_S_2_SAD_5,你搞砸了。
F_01_OISHI_S_2_SURPRISE_1,你把一切都翻了个底朝天。
F_01_OISHI_S_2_SURPRISE_2,你把蛇搞得一团糟。
F_01_OISHI_S_2_SURPRISE_3,你把一切都搞得天翻地覆。
F_01_OISHI_S_2_SURPRISE_4,你把一切都搞得一团糟了。
F_01_OISHI_S_2_SURPRISE_5,你全部都改掉了。
F_01_OISHI_S_3_ANGRY_1,他什么也没说就离开了。
F_01_OISHI_S_3_ANGRY_2,他什么也没说就走了。
F_01_OISHI_S_3_ANGRY_3,没有说什么就离开了。
F_01_OISHI_S_3_ANGRY_4,他什么也没说就走了。
F_01_OISHI_S_3_ANGRY_5,它什么也没说就走了。
F_01_OISHI_S_3_DISGUST_1,他什么也没说就走了。
F_01_OISHI_S_3_DISGUST_2,他什么也没说就走了。
F_01_OISHI_S_3_DISGUST_3,他什么也没说就走了。
F_01_OISHI_S_3_DISGUST_4,她什么都没说就走了。
F_01_OISHI_S_3_DISGUST_5,他什么也没说就走了。
F_01_OISHI_S_3_FEAR_1,他没说什么就走了。
F_01_OISHI_S_3_FEAR_2,他什么也没说就走了。
F_01_OISHI_S_3_FEAR_3,他什么也没说就走了。
F_01_OISHI_S_3_FEAR_4,她什么也没说就走了。
F_01_OISHI_S_3_FEAR_5,他什么也没说就走了。
F_01_OISHI_S_3_HAPPY_1,他什么都没说就走了。
F_01_OISHI_S_3_HAPPY_2,他什么也没说就偷偷溜走了。
