name,english
DC_a01, She had her dark suit in greasy wash water all year.
DC_a02, Don't ask me to carry an oily rag like that.
DC_a03, Will you tell me why?
DC_a04, Who authorized the unlimited expense account?
DC_a05, Destroy every file related to my audits.
DC_a06, Corey and Trish played tag with beach balls for hours?
DC_a07, He will allow a rare lie?
DC_a08, withdraw all phony accusations at once.
DC_a09, Right now may not be the best time for business mergers.
DC_a10, Kindergarten children decorate their classrooms for all holidays.
DC_a11, A few years later the dome fell in.
DC_a12, But in this one section we welcomed auditors.
DC_a13, A lot of people will roam the streets in costumes and masks and having a ball.
DC_a14," In many of his poems, death comes by train, a strong evocative visual image."
DC_a15, Then he would realise they were really things that only he himself could think.
DC_d01, She had your dark suit in greasy wash water all year.
DC_d02, Don't ask me to carry an oily rag like that.
DC_d03," ""'Will you tell me why?'"
DC_d04, Please take this dirty tablecloth to the cleaners for me.
DC_d05, The small boy put the worm on the hook
DC_d06, Basketball can be an entertaining sport.
DC_d07, How good is your endurance?
DC_d08, Bob burned paper and leaves in a big bonfire.
DC_d09, December and January are nice months to spend in Miami.
DC_d10," If people were more generous, there would be no need for warfare."
DC_d11," If the farm is rented, the rent must be paid."
DC_d12, laboratory astrophysics
DC_d13, Pretty soon a woman came along carrying a folded umbrella as a walking stick.
DC_d14, How much and how many profits could a majority take out of the losses of a few?
DC_d15, Does society really exist as an entity over and above the agglomeration of men?
DC_f01, Shed your dark suit and greasy wash water all year.
DC_f02, Don't ask me to carry an oily rug like that.
DC_f03, Will you tell me why?
DC_f04, call an ambulance for medical assistance
DC_f05, Tornadoes often destroy acres of farmland.
DC_f06, Straw hats are out of fashion this year.
DC_f07, That diagram makes sense only after much study.
DC_f08, Special task forces rescue hostages from kidnappers.
DC_f09, The Tooth Fairy forgot to come when Roger's tooth fell out.
DC_f10, Will Robin wear a yellow lily?
DC_f11," Their props were two step ladders, a chair and a palm fan."
DC_f12, This is a problem that goes considerably beyond questions of salary and tenure.
DC_f13, The pulsing glow of a cigarette.
DC_f14," One looked down on a sea of leaves, a breaking wave of flower."
DC_f15, We will achieve a more vivid sense of what it is by realizing what it is not.
DC_h01, She had your dark suit in greasy wash order all year.
DC_h02, Don't ask me to carry an oily rag like that.
DC_h03, Will you tell me why?
DC_h04, Those musicians harmonize marvelously.
DC_h05, The eastern coast is a place for pure pleasure and excitement.
DC_h06, That noise problem grows more annoying each day.
DC_h07, Project development was proceeding too slowly.
DC_h08, The oasis was a mirage.
DC_h09, Are your grades higher or lower than Nancy's?
DC_h10, Serve the coleslaw after I add the oil.
DC_h11," By that, one feels that magnetic forces are as general as electrical forces."
DC_h12, His artistic accomplishments guaranteed him entry into any social gathering.
DC_h13, He would not carry a briefcase.
DC_h14," Obviously, the bridal pair has many adjustments to make to their new situation."
DC_h15, Both the conditions and the complicity are documented in considerable details.
DC_n01, She had your dark suit in greasy wash water all year.
DC_n02, Don't ask me to carry an oily rag like that.
DC_n03, Will you tell me why?
DC_n04, The best way to learn is to solve extra problems.
DC_n05, Calcium makes bones and teeth strong.
