name,chinese
03a01Fa,抹布在冰箱上。
03a01Nc,抹布在冰箱上。
03a01Wa,抹布在冰箱上。
03a02Fc,她打算在星期三交。
03a02Nc,她打算在星期三提交这个。
03a02Ta,她想在星期三交。
03a02Wb,她打算在星期三提交。
03a02Wc,她打算在星期三提交。
03a04Ad,今晚我可以告诉他。
03a04Fd,今晚我可以告诉他。
03a04Lc,今天晚上我可以告诉他。
03a04Nc,今天晚上我可以告诉他。
03a04Ta,今晚我可以告诉他。
03a04Wc,今天晚上我可以告诉他。
03a05Aa,那张黑色纸在上面靠近那块木头。
03a05Fc,那张黑色纸就在上面木头旁边。
03a05Nd,那张黑色的纸就在那里，上面的那个木块旁边。
03a05Tc,那张黑色纸在上面的木块旁边。
03a05Wa,黑色纸在上面靠近那块木头。
03a05Wb,那张黑色纸在上面木头旁边。
03a07Fa,七小时后就要到了。
03a07Fb,七个小时后就到了。
03a07La,再过七个小时就要到了。
03a07Nc,七个小时后就要到了。
03a07Wc,七小时后就到了。
03b01Fa,桌子下面放的那些袋子是什么？
03b01Lb,“桌子底下放的那些袋子是什么？”
03b01Nb,桌子底下的那些袋子是什么？
03b01Td,桌子底下放着的那些袋子是什么？
03b01Wa,那么放在桌子下面的袋子是什么？
03b01Wc,桌子底下那些袋子是什么？
03b02Aa,他们刚把它抬上去，现在又下来了。
03b02La,您刚把它提上去，现在您又下去。
03b02Na,他们刚刚把它抬上去，现在又要下去。
03b02Tb,他们刚刚把它抬上去。现在他们又要下去。
03b02Wb,他们刚刚把它抬上去，现在又下来了。
03b03Nb,周末我总是回家，探望阿格妮丝。
03b03Tc,周末我都会回家看望阿格尼斯。
03b03Wc,周末我现在总是回家看望阿涅斯。
03b09La,我想把这个拿走，然后和卡尔去喝点东西。
03b09Nc,我想先把这个拿走，然后和卡尔去喝点东西。
03b09Tc,我要把这个拿走，然后和卡尔去喝一杯。
03b09Wa,我想先把这个拿走，然后和卡尔去喝一杯。
03b10Ab,它会在我们总是放置它的地方。
03b10Ec,它会在我们总是放置它的地方。
03b10Na,它会在我们总是放置它的地方。
03b10Nc,它会放在我们一直放置它的地方。
03b10Wb,它会放在我们总是放的地方。
03b10Wc,它会放在我们总是放置它的地方。
08a01Ab,抹布在冰箱上。
08a01Fd,抹布在冰箱上。
08a01Lc,抹布在冰箱上。
08a01Na,抹布在冰箱上。
08a01Wa,抹布在冰箱上。
08a01Wc,抹布在冰箱上！
08a02Ab,她想把这件事高调处理。
08a02Ac,她想在星期三提交。
08a02Fe,我们在星期三提交它。
08a02La,她打算在星期三提交。
08a02Na,她想在星期三提交。
08a02Tb,我们将在星期三提交。
08a02Wc,我们在星期三提交。
08a04Ff,今天晚上我可以告诉他。
08a04La,今天晚上我可以告诉他。
08a04Nc,今天晚上我可以告诉他。
08a04Tb,今天晚上我可以告诉他。
08a04Wc,今天晚上我可以告诉他。
08a05Fe,那张黑色的纸就在那块木头旁边。
08a05Lc,那张黑色的纸在上面木头块的旁边。
08a05Nb,那张黑色的纸在那上面的那块木头旁边。
08a05Ta,那张黑纸就在那上边的木头旁边。
08a05Wa,黑色纸张在上面的木块旁边。
08a07Fd,七个小时后就到了。
08a07La,七小时后就到了。
08a07Na,七个小时后就到了。
08a07Ta,七小时后就到了。
08a07Tb,再过七个小时就到了。
08a07Wc,七个小时后就要到了！
08b01Aa,桌子下面放着的那些袋子是什么？
08b01Fd,桌子底下的那些袋子是什么?
08b01Fe,那桌子底下放的是什么袋子？
08b01Lb,桌子底下放的那些袋子是什么？
08b01Na,那桌子底下放的是什么袋子？
08b01Wa,桌子下面放着的那些袋子是什么？
08b02Ff,他们刚刚把它抬上去，现在又下去了。
08b02La,»他们刚把它搬上去，现在又下去了。«
08b02Nb,他们刚刚把它拿上去，现在又走下来。
08b02Tc,他们刚刚把它抬上去，现在又下来。
08b02Wd,他们刚把它抬上去，现在又下去了。
08b03Fe,周末我总是回家看望阿格尼丝。
08b03Lc,周末的时候，我现在总是回家，去看望艾格尼斯。
08b03Nb,周末我总是开车回家看望艾格尼丝。
08b03Tc,周末我总是回家，并拜访了阿格尼斯。
08b03Wd,在周末，我现在总是回家，然后拜访阿格尼斯。
08b09Ab,我要先拿走这个，然后和卡尔喝一杯。
08b09Fd,我要把这个带走，然后和卡尔去喝一杯。
08b09Lc,我要先把这个拿去，然后和卡尔喝点东西。
08b09Nb,我要先把这个拿走，然后和卡尔去喝酒。
08b09Tb,我想把这个东西拿走，然后和卡尔去喝一杯。
08b09Wa,我要把这个拿走，然后和卡尔喝一杯。
08b09Wc,我要先把这个带走，然后和卡尔一起去喝一杯。
08b10Aa,它会在我们平时放的地方。
08b10Fd,它会在我们总是放置它的地方。
08b10La,它会在我们一直放置的位置上。
08b10Nc,它会在我们一直放的地方。
08b10Tc,它会在我们总是放置它的地方。
08b10Wa,它将位于我们总是放置它的地方。
09a01Ea,抹布在冰箱上。
09a01Fa,抹布放在冰箱上。
09a01Nb,抹布在冰箱上。
09a01Wb,抹布在冰柜上。
09a02Ea,她想在星期三提交。
09a02Eb,她想提前给。
09a02La,她想在星期三提交。
09a02Wb,她想在星期三交。
09a04Fd,今天晚上我可以告诉他。
09a04La,今晚我可以告诉他。
09a04Nb,今晚我可以告诉他。
09a04Wa,今晚我可以告诉他。
09a05Ed,那张黑纸在那边木块旁边上面。
09a05Lc,那张黑色的纸就在那边靠近那块木头。
09a05Nb,黑色纸张在上面木块旁边。
09a05Tb,那张黑色的纸在上面靠近那块木头。
09a05Wb,那张黑色的纸就在上面的那块木头旁边。
09a05Wc,那张黑色的纸在上面的木头旁边。
09a07Eb,七个小时后就要到了。
09a07Na,七小时后就到了。
09a07Ta,再过七个小时就到了。
09a07Wb,七个小时后就要到了。
09a07Wd,七小时后就到了。
09b01Ea,那放在桌子下面的袋子是什么？
09b01Na,桌子底下放的那些袋子是什么？
09b01Wb,那桌子底下的袋子是什么？
09b02Na,他们刚抬上去，现在又下来了。
09b02Tb,他们刚刚把它带上去，现在他们又下去了。
09b02Wc,您刚把它搬上去，现在又下去了。
09b02Wd,他们刚把它抬上去，现在他们又下来了。
09b03Ed,周末我现在总是回家并拜访阿格尼丝。
09b03Fa,周末我现在总是回家，并且拜访阿格妮丝。
09b03Fd,在周末，我现在总是回家，并且拜访阿格妮丝。
09b03Lb,在周末，我现在总是回家，并拜访阿格尼斯。
09b03Nb,在周末，我现在总是回家并拜访阿格妮丝。
09b03Ta,在周末，我现在总是回家，去看望阿格尼丝。
09b03Wb,周末我现在总是回家，并拜访了艾格尼丝。
09b09Ea,我先把这个拿出去，然后和卡尔去喝一杯。
09b09Nd,我想把这个拿走，然后和凯去喝一杯。
