name,chinese
a01 (1),当我们晚上回到房间时，发现床上有两只小猫。
a01 (2),当我们晚上回到房间时，发现床上有两只小猫。
a01 (3),当我们晚上回到房间时，发现床上有两只小猫。
a01 (4),当我们晚上回到房间时，发现床上有两只小猫。
a01 (5),当我们晚上回到房间时，发现在床上有两只小猫。
a01 (6),当我们晚上回到房间时，我们在床上发现了两只小猫。
a02 (1),也就是说，尽管发生了这么多事情，拉谢尔还是给她的女儿取了她祖母的名字。
a02 (2),也就是说，尽管发生了这些事情，拉海尔还是给女儿取了她祖母的名字。
a02 (3),也就是说，尽管发生了所有事情，Rachile还是给她女儿取了她奶奶的名字。
a02 (4),也就是说，尽管发生了这些事，拉海尔给她的女儿取了她祖母的名字。
a02 (5),也就是说，尽管发生的一切，拉海尔仍把她女儿取名为她奶奶的名字。
a02 (6),就是说，尽管发生了一切，拉谢尔给她的女儿取了她祖母的名字。
a03 (1),从现在开始，我每周四下午都会把购物放在您的门外。
a03 (2),从今以后，我会在每周四下午把您的购物放在您的门外。
a03 (3),从现在开始，我每周四下午会把购物放在您的门外。
a03 (4),从现在开始，我每周四下午都会把购物放在您的门外。
a03 (5),从现在起，我每周四下午都会把购物放在您的门口。
a03 (6),从现在开始，我每周四下午会把购物留在您的门外。
a04 (1),不，别告诉我。来，我们走走。
a04 (2),不！不要告诉我！我们去散步吧！
a04 (3),不，不，要不要告诉我。我们去走走吧。
a04 (4),不，不，别告诉我。我们去走一走吧。
a04 (5),不，不，别告诉我。来，我们一起走走。
a04 (6),不，不，别告诉我。来，我们去走走。
a05 (1),我告诉保罗不要在办公室给我打电话。
a05 (2),我告诉保罗不要在办公室给我打电话。
a05 (3),我告诉保罗不要在办公室给我打电话。
a05 (4),我告诉保罗不要在办公室给我打电话。
a05 (5),我告诉博尔不要在办公室给我打电话。
a05 (6),我告诉保罗不要在办公室给我打电话。
a06 (1),当然，在这个可怕的混乱中，只有一件事是清楚的。
a06 (2),当然，在这种可怕的混乱中，只有一件事是清楚的。
a06 (3),当然，在这种可怕的混乱中，只有一件事是清楚的。
a06 (4),当然，在这种可怕的混乱中，只有一件事情是清晰的。
a06 (5),当然。在这可怕的混乱中，只有一件事是清楚的。
a06 (5)b,从现在起，我每周四下午会把购物放在您的门外。
a06 (6),当然，在如此可怕的混乱中，只有一件事情是清晰的。
a07 (1),所以，现在你有结婚的自由。
a07 (2),那么现在你有时间结婚了。
a07 (3),所以现在你有机会结婚。
a07 (4),所以，现在你有能力结婚。
a07 (5),所以现在你有结婚的自由。
a07 (6),所以现在你有余裕去结婚了。
a08 (1),不。有时我会和一些同事出去。
a08 (2),不，有时我和一些同事出去。
a08 (3),不。有时我和同事一起出去。
a08 (4),不。 有时我会和工作的同事们一起出去。
a08 (5),不。 有时我会和一些同事出去。
a08 (6),不，有时我会见到一些同事。
a09 (1),我可能不记得我的割礼是怎么进行的，但可以确定的是它确实进行了。
a09 (2),我可能不记得我的割礼是怎么进行的，但它确实进行了。
a09 (3),我可能不记得我的割礼是怎么进行的，但肯定进行了。
