name,text
03a01Fa, Der Lappen liegt auf dem Eisschrank.
03a01Nc, Der Lappen liegt auf dem Eisschrank.
03a01Wa, Der Lappen liegt auf dem Eisschrank.
03a02Fc, Das will sie am Mittwoch abgeben.
03a02Nc, Das will sie am Mittwoch abgeben.
03a02Ta, Das will sie am Mittwoch abgeben.
03a02Wb, Das will sie am Mittwoch abgeben.
03a02Wc, Das will sie am Mittwoch abgeben.
03a04Ad, Heute Abend könnte ich es ihm sagen.
03a04Fd, Heute Abend könnte ich es ihm sagen.
03a04Lc, Heute Abend könnte ich's ihm sagen.
03a04Nc, Heute Abend könnte ich es ihm sagen.
03a04Ta, Heute Abend könnte ich's ihm sagen.
03a04Wc, Heute Abend könnte ich's ihm sagen.«
03a05Aa, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
03a05Fc, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
03a05Nd, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
03a05Tc, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
03a05Wa, »Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.«
03a05Wb, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
03a07Fa, In sieben Stunden wird es soweit sein.
03a07Fb, In sieben Stunden wird es soweit sein.
03a07La, In sieben Stunden wird es soweit sein.
03a07Nc, In sieben Stunden wird es soweit sein.
03a07Wc, In sieben Stunden wird es soweit sein.
03b01Fa," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
03b01Lb," »Was sind denn das für Tüten, die da unter dem Tisch stehen?«"
03b01Nb," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
03b01Td," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
03b01Wa," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
03b01Wc," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
03b02Aa, Sie haben es gerade hochgetragen und jetzt gehen sie wieder runter.
03b02La, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
03b02Na, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
03b02Tb, Sie haben es gerade hochgetragen. Und jetzt gehen sie wieder runter.
03b02Wb, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
03b03Nb, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
03b03Tc, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
03b03Wc, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
03b09La, Ich will das eben wegbringen und dann mit Karl was trinken gehen.
03b09Nc, Ich will das eben wegbringen und dann mit Karl was trinken gehen.
03b09Tc, Ich will das eben wegbringen und dann mit Karl was trinken gehen.
03b09Wa, Ich will das eben wegbringen und dann mit Karl was trinken gehen.
03b10Ab," Die wird auf dem Platz sein, wo wir sie immer hinlegen."
03b10Ec," Die wird auf dem Platz sein, wo wir sie immer hinlegen."
03b10Na," Die wird auf dem Platz sein, wo wir sie immer hinlegen."
03b10Nc," Die wird auf dem Platz sein, wo wir sie immer hinlegen.«"
03b10Wb," Die wird auf dem Platz sein, wo wir sie immer hinlegen."
03b10Wc," Die wird auf dem Platz sein, wo wir sie immer hinlegen."
08a01Ab, Der Lappen liegt auf dem Eisschrank.
08a01Fd, Der Lappen liegt auf dem Eisschrank.
08a01Lc, Der Lappen liegt auf dem Eisschrank.
08a01Na, Der Lappen liegt auf dem Eisschrank.
08a01Wa, Der Lappen liegt auf dem Eisschrank.
08a01Wc, Der Lappen liegt auf dem Eissrank!
08a02Ab, »Das will sie ja mit hoch abgeben.«
08a02Ac, Das will sie am Mittwoch abgeben.
08a02Fe, dass wir sie am Mittwoch abgeben.
08a02La, Das will sie am Mittwoch abgeben.
08a02Na, Das will sie am Mittwoch abgeben.
08a02Tb, dass wir sie am Mittwoch abgeben.
08a02Wc, dass wir sie am Mittwoch abgeben.
08a04Ff, Heute Abend könnte ich es ihm sagen.
08a04La, Heute Abend könnte ich es ihm sagen.
08a04Nc, Heute Abend könnte ich es ihm sagen.
08a04Tb, Heute Abend könnte ich es ihm sagen.
08a04Wc, Heute Abend könnte ich es ihm sagen.
08a05Fe, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
08a05Lc, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
08a05Nb, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
08a05Ta, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
08a05Wa, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
08a07Fd, In sieben Stunden wird es soweit sein.
08a07La, In sieben Stunden wird es soweit sein.
08a07Na, In sieben Stunden wird es soweit sein.
08a07Ta, In sieben Stunden wird es soweit sein.
08a07Tb, In sieben Stunden wird es soweit sein.
08a07Wc, In sieben Stunden wird es soweit sein!
08b01Aa," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
08b01Fd," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
08b01Fe," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
08b01Lb," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
08b01Na," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
08b01Wa," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
08b02Ff, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
08b02La, »Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.«
08b02Nb, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
08b02Tc, Sie haben es gerade hochgetragen und jetzt gehen sie wieder runter.
08b02Wd, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
08b03Fe, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
08b03Lc, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
08b03Nb, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
08b03Tc, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
08b03Wd, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
08b09Ab, Ich will das eben wegbringen und dann mit Karl was trinken gehen.
08b09Fd, Ich will das eben wegbringen und dann mit Karl was trinken gehen.
08b09Lc, Ich will das eben wegbringen und dann mit Karl was trinken gehen.
08b09Nb, Ich will das eben wegbringen und dann mit Karl was trinken gehen.
08b09Tb, Ich will das eben wegbringen und dann mit Karl was trinken gehen.
08b09Wa, Ich will das eben wegbringen und dann mit Karl was trinken gehen.
08b09Wc, Ich will das eben wegbringen und dann mit Karl was trinken gehen.
08b10Aa," Die wird auf dem Platz sein, wo wir sie immer hinlegen."
08b10Fd," Die wird auf dem Platz sein, wo wir sie immer hinlegen."
08b10La," Die wird auf dem Platz sein, wo wir sie immer hinlegen."
08b10Nc," Die wird auf dem Platz sein, wo wir sie immer hinlegen."
08b10Tc," Die wird auf dem Platz sein, wo wir sie immer hinlegen."
08b10Wa," Die wird auf dem Platz sein, wo wir sie immer hinlegen."
09a01Ea, Der Lappen liegt auf dem Eischrank.
09a01Fa, Der Lappen liegt auf dem Eischrank.
09a01Nb, Der Lappen liegt auf dem Eisschrank.
09a01Wb, Der Lappen liegt auf dem Eisschrank.
09a02Ea, Das will sie am Mittwoch abgeben.
09a02Eb, Das will sie ja mit vorab geben.
09a02La, Das will sie am Mittwoch abgeben.
09a02Wb, Das will sie am Mittwoch abgeben.
09a04Fd, Heute Abend könnte ich es ihm sagen.
09a04La, Heute Abend könnte ich ihm sagen.
09a04Nb, Heute Abend könnte ich es ihm sagen.
09a04Wa, Heute Abend könnte ich es ihm sagen.
09a05Ed, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
09a05Lc, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
09a05Nb, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
09a05Tb, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
09a05Wb, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
09a05Wc, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
09a07Eb, In sieben Stunden wird es soweit sein.
09a07Na, In sieben Stunden wird es soweit sein.
09a07Ta, In sieben Stunden wird es soweit sein.
09a07Wb, In sieben Stunden wird es soweit sein.
09a07Wd, In sieben Stunden wird es soweit sein.
09b01Ea," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
09b01Na," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
09b01Wb," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
09b02Na, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
09b02Tb, Sie haben es gerade hochgetragen und jetzt gehen sie wieder runter.
09b02Wc, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
09b02Wd, Sie haben es gerade hochgetragen und jetzt gehen sie wieder runter.
09b03Ed, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
09b03Fa, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
09b03Fd, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
09b03Lb, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
09b03Nb, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
09b03Ta, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
09b03Wb, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
09b09Ea, Ich will das eben wegbringen und dann mit Karl was trinken gehen.
09b09Nd, Ich will das eben wegbringen und dann mit Kai was trinken gehen.
09b09Wa, Ich will das eben wegbringen und dann mit Karl was trinken gehen.
09b10Aa," Die wird auf dem Platz sein, wo wir sie immer hinlegen."
09b10Nd," Die wird auf dem Platz sein, wo wir sie immer hinlegen."
09b10Wa," Die wird auf dem Platz sein, wo wir sie immer hinlegen."
10a01Ac, Der Lappen liegt auf dem Eisschrank!
10a01Nb, Der Lappen liegt auf dem Eisschrank.
10a01Wa, Der Lappen liegt auf dem Eisschrank.
10a02Ab, Das will sie am Mittwoch abgeben.
10a02Fa, Das werde ich am Mittwoch abgeben.
10a02Lb, Das will sie am Mittwoch abgeben.
10a02Na, Das will sie am Mittwoch abgeben.
10a02Wa, Das will sie am Mittwoch abgeben.
10a04Fd, Heute Abend könnte ich es ihm sagen.
10a04Nb, Heute Abend könnte ich es ihm sagen.
10a04Wa, Heute Abend könnte ich es ihm sagen.
10a04Wb, Heute Abend könnt ihr's nicht sagen!
10a05Aa, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
10a05Ld, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
10a05Tb, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
10a05Wb, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
10a07Aa, In sieben Stunden wird es soweit sein.
10a07Ad, In sieben Stunden wird es soweit sein.
10a07La, In sieben Stunden wird es soweit sein.
10a07Ta, In sieben Stunden wird es soweit sein.
10a07Wb, In sieben Stunden wird es soweit sein!
10b01Aa," Was sind das für Tüten, die da unter dem Tisch stehen?"
10b01Ea," Was sind das für Tüten, die da unter dem Tisch stehen?"
10b01Fa," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
10b01Lb," Was sind das für Tüten, die da unter dem Tisch stehen?"
10b02Aa, Sie haben es gerade hochgetragen und jetzt gehen sie wieder runter.
10b02La, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
10b02Na, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
10b02Wb, Die haben es gerade hochgetragen und jetzt gehen sie wieder runter!
10b03La, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht
10b03Tb, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
10b03Wb, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
10b09Ad," Ich will das eben wegbringen, damit Karl was trinken geht."
10b09Lb," Ich will das eben wegbringen, damit Karl was trinken gehen."
10b09Wb, Ich will das eben wegbringen und dann mit Karl was trinken gehen.
10b10Fc," Die wird auf dem Platz sein, wo wir sie immer hinlegen."
10b10Lc," wird auf dem Platz sein, wo wir sie immer hinlegen."
10b10Wa," Die wird auf dem Platz sein, wo wir sie immer hinlegen."
11a01Aa, Der Lappen liegt auf dem Eisschrank.
11a01Ab, Der Lappen liegt auf dem Eisschrank.
11a01Ld, Der Lappen liegt auf dem Eisschrank.
11a01Nd, Der Lappen liegt auf dem Eisschrank.
11a01Wc, Der Lappen liegt auf dem Eisschrank.
11a02Ec, Das will sie am Mittwoch abgeben.
11a02Fb, Das will sie am Mittwoch abgeben.
11a02Ld, Das will sie am Mittwoch abgeben.
11a02Nc, Das will sie am Mittwoch abgeben.
11a02Tc, Das will sie am Mittwoch abgeben.
11a02Wc, Das will sie am Mittwoch abgeben.
11a04Ac, Heute Abend könnte ich es ihm sagen.
11a04Fd, Heute Abend könnte ich es ihm sagen.
11a04Nd, Heute Abend könnte ich es ihm sagen.
11a04Wc," Heute Abend, könnte ich es ihm sagen."
11a05Ad," Das schwarze Blatt Papier befindet sich da oben, neben dem Holzstück."
11a05Fb, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
11a05Fc," Das schwarze Blatt Papier befindet sich da oben, neben dem Holzstück."
11a05Lc, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
11a05Na, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
11a05Td," Das schwarze Blatt Papier befindet sich da oben, neben dem Holzstück."
11a05Wd, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
11a07Ac, In sieben Stunden wird es soweit sein.
11a07Ld, In sieben Stunden wird es soweit sein.
11a07Ta, In sieben Stunden wird es soweit sein.
11a07Wc, In sieben Stunden wird es soweit sein.
11b01Ab," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
11b01Eb, Was sind denn das für Tüten? Die da unter dem Tisch stehen.
11b01Fc," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
11b01Lb," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
11b01Nc," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
11b01Wd," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
11b02Ab, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
11b02Fd, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
11b02Na, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
11b02Td, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
11b02Wb, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
11b03Fc, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
11b03Lc, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
11b03Nb, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
11b03Td, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
11b03Wa, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
11b03Wb, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
11b09Ad, Ich will das eben wegbringen und dann mit Karl was trinken gehen.
11b09Fd, Ich will das eben wegbringen und dann mit Karl was trinken gehen.
11b09Ld, Ich will das eben wegbringen und dann mit Kawa's trinken gehen.
11b09Na, Ich will das eben wegbringen und dann mit Karl was trinken gehen.
11b09Td, Ich will das eben wegbringen. Und dann wird Karl was trinken gehen.
11b09Wa, Ich will das eben wegbringen und dann mit Karl was trinken gehen.
11b10Ad," Die wird auf dem Platz sein, wo wir sie immer hinlegen."
11b10Ae," Die wird auf dem Platz sein, wo wir sie immer hinlegen."
11b10Ld," Die wird auf dem Platz sein, wo wir sie immer hinlegen."
11b10Nc," Die wird auf dem Platz sein, wo wir sie immer hinlegen."
11b10Td," Die wird auf dem Platz sein, wo wir sie immer hinlegen."
11b10Wa," Die wird auf dem Platz sein, wo wir sie immer hinlegen."
12a01Fb, Der Lappen liegt auf dem Eisschrank.
12a01Lb, Der Lappen liegt auf dem Aalschrank.
12a01Nb, Der Lappen liegt auf dem Eisschrank.
12a01Wc, Der Lappen liegt auf dem Eisschrank.
12a02Ac, Das will sie am Mittwoch abgeben.
12a02Ec, Das will sie am Mittwoch abgeben.
12a02Nb, Das will sie am Mittwoch abgeben.
12a02Wa, Das willst du ja am Mittwoch abgeben!
12a02Wc, Das will sie am Mittwoch abgeben.
12a04Wc, Heute Abend könnte ich es ihm sagen.
12a05Ab, »Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.«
12a05Lb," Das schwarze Blatt Papier befindet sich da oben, neben dem Holzstück."
12a05Nd, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
12a05Ta, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
12a05Wb," Das schwarze Blatt Papier befindet sich da oben, neben dem Holzstück."
12a07Ac, In sieben Stunden wird es soweit sein.
12a07La, In sieben Stunden wird es soweit sein.
12a07Wa, In sieben Stunden wird es soweit sein.
12b01Ta," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
12b01Wa," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
12b02Ad, Sie haben es gerade hochgetragen und jetzt gehen sie wieder runter.
12b02Ea, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.«
12b02Fb, Sie haben es gerade hochgetragen und jetzt gehen sie wieder runter.
12b02Na, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
12b02Wa, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter!
12b02Wb, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
12b02Wd, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter!
12b03La, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
12b03Ta, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
12b09Ac, Ich will das eben wegbringen. Und dann mit Karl was trinken gehen.
12b09Td, Ich will das eben wegbringen und dann mit Karl was trinken gehen.
12b09Wc, Ich will das eben wegbringen und dann mit Carl was trinken gehen.
12b10Ac," Die wird auf dem Platz sein, wo wir sie immer hinlegen."
12b10Ld," Die wird auf dem Platz sein, wo wir sie immer hinlegen."
12b10Wa," Die wird auf dem Platz sein, wo wir sie immer hinlegen."
13a01Ac, Der Lappen liegt auf dem Eisschrank.
13a01Ea, Der Lappen liegt auf dem Eisschrank.
13a01Ec, Der Lappen liegt auf dem Eisschrank.
13a01Fd, Der Lappen liegt auf dem Eisschrank.
13a01Lb, »Herr Lappen liegt auf dem Eisschrank.«
13a01Nb, Der Lappen liegt auf dem Eisschrank.
13a01Wb, Der Lappen liegt auf dem Eisschrank.
13a02Ad, Das will sie am Mittwoch abgeben.
13a02Ec, Das will sie am Mittwoch abgeben.
13a02Fa, Das will sie am Mittwoch abgeben.
13a02Lc, Das will sie am Mittwoch abgeben.
13a02Nc, Das will sie am Mittwoch abgeben.
13a02Ta, Das will sie am Mittwoch abgeben.
13a02Wa, Das will sie am Mittwoch abgeben.
13a04Ac, Heute Abend könnte ich es ihm sagen.
13a04Fc, Heute Abend könnte ich es ihm sagen.
13a04Lb, Heute Abend könnte ich es ihm sagen.
13a04Ta, Heute Abend könnte ich es ihm sagen.
13a04Wc, Heute Abend könnte ich es ihm sagen.
13a05Aa, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
13a05Ea," »Das schwarze Blatt Papier befindet sich da oben, neben dem Holzstück.«"
13a05Lc, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
13a05Nb, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
13a05Tc," Das schwarze Blatt Papier befindet sich da oben, neben dem Holzstück."
13a05Wa, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
13a05Wc, Das schwarze Blatt Papier befindet sich da oben neben dem Holzstück.
13a07Fd, In sieben Stunden wird es soweit sein.
13a07Lb, In sieben Stunden wird es soweit sein.
13a07Na, In sieben Stunden wird es soweit sein.
13a07Tc, In sieben Stunden wird es soweit sein.
13a07Wb, In sieben Stunden wird es soweit sein.
13b01Ab," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
13b01Ec," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
13b01Fc," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
13b01Ld," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
13b01Nc," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
13b01Wa," Was sind denn das für Tüten, die da unter dem Tisch stehen?"
13b02Fb, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
13b02Lc, Sie haben es gerade hochgetragen und jetzt gehen sie wieder runter.
13b02Nb, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
13b02Wa, Sie haben es gerade hochgetragen und jetzt gehen Sie wieder runter.
13b03Ac, An den Wochenenden bin ich jetzt immer nach Hause gefahren und da habe ich Agnes besucht.
13b03Ed, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
13b03Fd, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
13b03Lb, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
13b03Na, An den Wochenenden bin ich jetzt immer nach Hause gefahren und habe Agnes besucht.
