name,english
03a01Fa,The rag is on top of the refrigerator.
03a01Nc,The rag is on top of the refrigerator.
03a01Wa,The rag is on top of the refrigerator.
03a02Fc,She wants to submit that on Wednesday.
03a02Nc,She wants to submit that on Wednesday.
03a02Ta,She wants to submit that on Wednesday.
03a02Wb,She wants to submit that on Wednesday.
03a02Wc,She wants to submit that on Wednesday.
03a04Ad,This evening I could tell him.
03a04Fd,"This evening, I could tell him."
03a04Lc,This evening I could tell him.
03a04Nc,This evening I could tell him.
03a04Ta,"Tonight, I could tell him."
03a04Wc,"""Tonight I could tell him."""
03a05Aa,The black sheet of paper is up there next to the piece of wood.
03a05Fc,The black sheet of paper is up there next to the piece of wood.
03a05Nd,The black sheet of paper is up there next to the piece of wood.
03a05Tc,The black sheet of paper is up there next to the piece of wood.
03a05Wa,"""The black sheet of paper is up there next to the piece of wood."""
03a05Wb,The black sheet of paper is up there next to the piece of wood.
03a07Fa,"In seven hours, it will be time."
03a07Fb,In seven hours it will be time.
03a07La,In seven hours it will be time.
03a07Nc,"In seven hours, it will be time."
03a07Wc,"In seven hours, the time will come."
03b01Fa,What are those bags standing under the table?
03b01Lb,"""What are those bags standing under the table?"""
03b01Nb,What are those bags standing under the table?
03b01Td,What are those bags standing under the table?
03b01Wa,What are those bags standing under the table?
03b01Wc,What are those bags under the table?
03b02Aa,"They just carried it up, and now they are going back down."
03b02La,They just carried it up and now they are going back down.
03b02Na,"You just carried it up, and now you're going back down."
03b02Tb,They just carried it up. And now they are going back down.
03b02Wb,"They just carried it up, and now they're going back down."
03b03Nb,"On the weekends, I always drove home and visited Agnes."
03b03Tc,"On the weekends, I always went home and visited Agnes."
03b03Wc,"On the weekends, I always went home and visited Agnes."
03b09La,I just want to take this away and then go have a drink with Karl.
03b09Nc,I want to take this away quickly and then go have a drink with Karl.
03b09Tc,I just want to take this away and then go have a drink with Karl.
03b09Wa,I just want to take this away and then go have a drink with Karl.
03b10Ab,It will be in the place where we always put it.
03b10Ec,It will be in the place where we always put it.
03b10Na,It will be in the place where we always put it.
03b10Nc,It will be in the place where we always put it.
03b10Wb,It will be in the place where we always put it.
03b10Wc,It will be in the place where we always put it.
08a01Ab,The cloth is on the freezer.
08a01Fd,The cloth is lying on the icebox.
08a01Lc,The cloth is on the freezer.
08a01Na,The cloth is on the freezer.
08a01Wa,The rag is lying on the icebox.
08a01Wc,The rag is on the icebox!
08a02Ab,"""She wants to turn that in with high marks."""
08a02Ac,She wants to submit that on Wednesday.
08a02Fe,that we submit them on Wednesday.
08a02La,She wants to hand that in on Wednesday.
08a02Na,She wants to submit that on Wednesday.
08a02Tb,that we will hand them in on Wednesday.
08a02Wc,that we will submit them on Wednesday.
08a04Ff,This evening I could tell him.
08a04La,I could tell him this evening.
08a04Nc,I could tell him this evening.
08a04Tb,Tonight I could tell him.
08a04Wc,"This evening, I could tell him."
08a05Fe,The black sheet of paper is up there next to the piece of wood.
08a05Lc,The black sheet of paper is up there next to the piece of wood.
08a05Nb,The black sheet of paper is up there next to the piece of wood.
08a05Ta,The black sheet of paper is up there next to the piece of wood.
08a05Wa,The black sheet of paper is up there next to the piece of wood.
08a07Fd,"In seven hours, the time will come."
08a07La,"In seven hours, the time will come."
08a07Na,"In seven hours, it will be time."
08a07Ta,In seven hours it will be time.
08a07Tb,In seven hours it will be time.
08a07Wc,"In seven hours, it will be time!"
08b01Aa,What are those bags under the table?
08b01Fd,What kind of bags are those standing under the table?
08b01Fe,What are those bags that are under the table?
08b01Lb,What are those bags standing under the table?
08b01Na,What are those bags standing under the table?
08b01Wa,What are those bags that are under the table?
08b02Ff,"You just carried it up, and now you're going back down."
08b02La,"""They just carried it up and now they're going back down."""
08b02Nb,"You just carried it up, and now you're going back down."
08b02Tc,"They just carried it up, and now they're going back down."
08b02Wd,"You just carried it up, and now you're going back down."
08b03Fe,"On the weekends, I always went home and visited Agnes."
08b03Lc,"On the weekends, I always went home and visited Agnes."
08b03Nb,"On the weekends, I always went home and visited Agnes."
08b03Tc,"On the weekends, I always went home and visited Agnes."
08b03Wd,"On the weekends, I always went home and visited Agnes."
08b09Ab,I just want to take this away and then go have a drink with Karl.
08b09Fd,I just want to take this away and then go have a drink with Karl.
08b09Lc,I just want to take this away and then go have a drink with Karl.
