name,english
01-C-1-1,A crazy horse in my garden!
01-C-1-2,"""Two hundred nuqueries with brown fur!"""
01-C-1-3,Three blind monkeys by the lake!
01-C-1-4,four old elephantine sows
01-C-1-5,five proud and passionate peppers
01-C-1-6,six domesticated magnetic bears
01-C-2-1,A crazy horse in my garden!
01-C-2-2,Two gray years with brown fur!
01-C-2-3,Three blind signs by the lake!
01-C-2-4,Four old elephantine sows!
01-C-2-5,Five proud and passionate smokers!
01-C-2-6,"Six domesticated, friendly bears!"
01-D-1-1,"""A crazy horse in my garden!"""
01-D-1-2,two embittered years with brown fur
01-D-1-3,Three blind swans by the lake.
01-D-1-4,Four old elephantine sows!
01-D-1-5,"""Simply proud and passionate!"""
01-D-1-6,six domesticated magnetic bears
01-D-2-1,A crazy horse in my garden!
01-D-2-2,Two grumpy donkeys with brown coats!
01-D-2-3,Three blind signs by the lake?
01-D-2-4,Four old elephantine sows!
01-D-2-5,"five proud and passionate peppers,"
01-D-2-6,"It's hard, it's poorly tamed."
01-J-1-1,A crazy horse in my garden!
01-J-1-2,Two bitter donkeys with brown coats.
01-J-1-3,Three blind signs by the lake.
01-J-1-4,four elephantine old sows
01-J-1-5,Five proud and passionate pumas!
01-J-1-6,Six bears and tamed hands.
01-J-2-1,A crazy horse in my garden!
01-J-2-2,Two bitter donkeys with brown coats.
01-J-2-3,Three blind signs by the lake.
01-J-2-4,Four old elephantine sows!
01-J-2-5,Five proud and passionate pumaurs.
01-J-2-6,Six bears and domesticated hands.
01-N-1-1,A crazy horse in my garden.
01-N-1-2,Two bitter donkeys with brown fur.
01-N-1-3,Three blind signs by the lake.
01-N-1-4,Four old elephantine sows
01-N-1-5,Five proud and passionate peppers.
01-N-1-6,Six domesticated amiable bears
01-P-1-1,"""I'm going to put it in my garden!"""
01-P-1-2,"""Two-year-old brown-coated donkey."""
01-P-1-3,Three blind swans at the edge of the lake.
01-P-1-4,four old sows
01-P-1-5,5 proud and passionate pumaurs
01-P-1-6,Six domesticated magnet-loving bears.
01-P-2-1,"""A crazy horse in my garden!"""
01-P-2-2,Two gray-decorated ones with brown fur
01-P-2-3,"Oh, blind sign by the lake!"
01-P-2-4,Four old elephantine sows!
01-P-2-5,"""Five proud and passionate peppers!"""
01-P-2-6,"""Six tame magnetic bears?"""
01-S-1-1,"""A crazy horse in my garden?"""
01-S-1-2,"""Two years black with brown fur?"""
01-S-1-3,Three blind signs by the lake?
01-S-1-4,four old elephantine sows
01-S-1-5,"""Five proud and passionate pumas!"""
01-S-1-6,six domesticated friendly bears
01-S-2-1,"""A crazy horse in my garden?"""
01-S-2-2,Two bitter donkeys with brown coats
01-S-2-3,Three blind signs by the lake?
01-S-2-4,four old elephantine sows
01-S-2-5,Five proud and passionate peppers!
01-S-2-6,domesticated semantic scissors
01-T-1-1,"""I'm going to mess it up, my castle!"""
01-T-1-2,All embittered in the fine fur.
01-T-1-3,Three blind signs by the lake.
01-T-1-4,Four old elephantine sows!
01-T-1-5,Five proud and passionate smokers.
01-T-1-6,Six bears and tamed hands.
01-T-2-1,I'm going to put my dog there.
01-T-2-2,two embittered donkeys with brown coats
01-T-2-3,Three blind signs by the lake.
01-T-2-4,Four old elephantine sows!
01-T-2-5,Saint-Pumant proud and passionate.
01-T-2-6,His domesticated bears and hands.
02-C-1-1,A crazy horse in my garden!
02-C-1-2,"""Two gray years with brown fur!"""
02-C-1-3,Three blind signs by the lake.
02-C-1-4,Four old elephantine sows!
02-C-1-5,Five proud and passionate pumas
02-C-1-6,Domesticated magnet shear.
02-C-2-1,A crazy horse in my garden?
02-C-2-2,Two gray years with brown fur.
02-C-2-3,Three blind signs by the lake.
02-C-2-4,Four old elephantine sows!
02-C-2-5,5 proud and passionate Pumas!
02-C-2-6,Domesticated magnet shear.
02-D-1-1,A crazy horse in my garden!
02-D-1-2,"Two donkeys and griots, brown coat."
02-D-1-3,Three blind signs by the lake.
02-D-1-4,Four old elephantine sows!
02-D-1-5,5. Then my proud and passionate...
02-D-1-6,"""Surely domesticated."""
02-D-2-1,A crazy horse in my garden!
02-D-2-2,Two years embittered with brown fur.
02-D-2-3,Three blind signs by the lake.
02-D-2-4,Four old elephantine sows!
02-D-2-5,"""Holy vigor, proud and passionate."""
02-D-2-6,so deaf and lies domesticated
02-J-1-1,A crazy horse in my garden!
02-J-1-2,Two grumpy donkeys with brown fur.
02-J-1-3,Three blind signs by the lake.
02-J-1-4,Four old elephantine sows
02-J-1-5,5. Proud and passionate Puma
02-J-1-6,Scissors and tamed hands
02-J-2-1,A mad horse in my garden!
02-J-2-2,Two grumpy donkeys with brown coats.
02-J-2-3,Three blind signs by the lake!
02-J-2-4,four old elephantine sows
02-J-2-5,"5. Puma, proud and passionate."
02-J-2-6,Six loving tamed days.
02-N-1-1,A crazy horse in my garden
02-N-1-2,Two grumpy donkeys with brown fur.
02-N-1-3,Three blind signs by the lake.
02-N-1-4,Four old elephantine sows.
02-N-1-5,5. Proud and passionate puma.
02-N-1-6,Domesticated magnetic scissors
02-P-1-1,A crazy horse in my garden!
02-P-1-2,"""Two years old in writing, with brown fur."""
02-P-1-3,Three blind swans at the edge of the lake.
02-P-1-4,four old elephantine sows
02-P-1-5,"""Five proud and passionate pumas!"""
02-P-1-6,"""Scissors, magnets, tamed!"""
02-P-2-1,A crazy horse in my garden!
02-P-2-2,"""Two years embittered with brown fur!"""
02-P-2-3,Three blind signs by the lake!
02-P-2-4,Four old elephantine tuyés!
02-P-2-5,"5, then me, proud and passionate!"
02-P-2-6,"Six loving, tamed days!"
02-S-1-1,"""A crazy horse in my garden?"""
02-S-1-2,Two bitter donkeys with brown fur?
02-S-1-3,"""Three blind signs by the lake?"""
02-S-1-4,"""Four old elephantine sows!"""
02-S-1-5,"""Five, then my proud one is passionate."""
02-S-1-6,if
02-S-2-1,"""A crazy horse in my garden?"""
02-S-2-2,"""Two donkeys with brown-gray fur!"""
02-S-2-3,"""Three blind signs by the lake?"""
02-S-2-4,four old elephantine sows
02-S-2-5,"""Five proud and passionate pumas?"""
02-S-2-6,SCISSORS TAMED DOMESTICALLY
02-T-1-1,A crazy horse in my garden.
02-T-1-2,Two gray years with brown fur.
02-T-1-3,Three blind swans at the edge of the lake.
02-T-1-4,four old elephantine sows
