name,english
03-01-01-01-01-01-01, Kids are talking by the door.
03-01-01-01-01-01-02, Kids are talking by the door.
03-01-01-01-01-01-03, Kids are talking by the door.
03-01-01-01-01-01-04, Kids are talking by the door.
03-01-01-01-01-01-05, Kids are talking by the door.
03-01-01-01-01-01-06, Kids are talking by the door.
03-01-01-01-01-01-07, Kids are talking by the door.
03-01-01-01-01-01-08, Kids are talking by the door.
03-01-01-01-01-01-09, Kids are talking by the door.
03-01-01-01-01-01-10, Kids are talking by the door.
03-01-01-01-01-01-11, Kids are talking by the door.
03-01-01-01-01-01-12, Kids are talking by the door.
03-01-01-01-01-01-13, Kids are talking by the door.
03-01-01-01-01-01-14, Kids are talking by the door.
03-01-01-01-01-01-15, Kids are talking by the door.
03-01-01-01-01-01-16, Kids are talking by the door.
03-01-01-01-01-01-17, Kids are talking by the door.
03-01-01-01-01-01-18, Kids are talking by the door.
03-01-01-01-01-01-19, Kids are talking by the door.
03-01-01-01-01-01-20, Kids are talking by the door.
03-01-01-01-01-01-21, Kids are talking by the door.
03-01-01-01-01-01-22, Kids are talking by the door.
03-01-01-01-01-01-23, Kids are talking by the door.
03-01-01-01-01-01-24, Kids are talking by the door.
03-01-01-01-01-02-01, Kids are talking by the door.
03-01-01-01-01-02-02, Kids are talking by the door.
03-01-01-01-01-02-03, Kids are talking by the door.
03-01-01-01-01-02-04, Kids are talking by the door.
03-01-01-01-01-02-05, Kids are talking by the door.
03-01-01-01-01-02-06, Kids are talking by the door.
03-01-01-01-01-02-07, Kids are talking by the door.
03-01-01-01-01-02-08, Kids are talking by the door.
03-01-01-01-01-02-09, Kids are talking by the door.
03-01-01-01-01-02-10, Kids are talking by the door.
03-01-01-01-01-02-11, Kids are talking by the door.
03-01-01-01-01-02-12, Kids are talking by the door.
03-01-01-01-01-02-13, Kids are talking by the door.
03-01-01-01-01-02-14, Kids are talking by the door.
03-01-01-01-01-02-15, Kids are talking by the door.
03-01-01-01-01-02-16, Kids are talking by the door.
03-01-01-01-01-02-17, Kids are talking by the door.
03-01-01-01-01-02-18, Kids are talking by the door.
03-01-01-01-01-02-19, Kids are talking by the door.
03-01-01-01-01-02-20, Kids are talking by the door.
