name,chinese
DC_a01,她的黑色套装整年都在油腻的洗衣房水里泡着。
DC_a02,不要让我带着那样的油布。
DC_a03,你能告诉我原因吗？
DC_a04,谁批准了不限额的费用账户？
DC_a05,销毁所有与我的审计相关的文件。
DC_a06,科里和特里什用沙滩球玩了几个小时的捉迷藏。
DC_a07,他会允许一个罕见的谎言吗？
DC_a08,立即撤回所有虚假的指控。
DC_a09,现在可能不是进行商业合并的最佳时机。
DC_a10,幼儿园的孩子们为所有节日装饰他们的教室。
DC_a11,几年后，圆顶倒塌了。
DC_a12,但在这一部分，我们欢迎审计员。
DC_a13,许多人会穿着服装和面具在街上游荡，尽情狂欢。
DC_a14,在他的许多诗中，死亡以火车的形式出现，这是一个强烈的唤起视觉形象。
DC_a15,然后他会意识到那些实际上是只有他自己才能想到的事情。
DC_d01,她把你的深色西装整年泡在油腻的洗涤水里。
DC_d02,不要让我拿那样的油布。
DC_d03,“你会告诉我为什么吗？”
DC_d04,请帮我把这块脏桌布送到干洗店。
DC_d05,小男孩把虫放到鱼钩上。
DC_d06,篮球可以是一项娱乐性的运动。
DC_d07,你的耐力有多好？
DC_d08,鲍勃在一个大篝火中烧了纸和树叶。
DC_d09,十二月和一月是适合在迈阿密度过的好时光。
DC_d10,如果人们更加慷慨，就不需要战争了。
DC_d11,如果农场是租来的，租金必须支付。
DC_d12,实验室天体物理学
DC_d13,很快一个女人走过来，拿着一把折叠伞当作拐杖。
DC_d14,多数人可以从少数人的损失中获取多少利润？
DC_d15,社会是否确实作为一个实体存在，而不仅仅是人的集合？
DC_f01,整年都脱掉深色西装和油腻的洗涤水。
DC_f02,不要让我搬那样一块油腻的地毯。
DC_f03,你会告诉我为什么吗？
DC_f04,叫救护车寻求医疗帮助
DC_f05,龙卷风常常毁坏成片的农田。
DC_f06,草帽今年已经不再流行。
DC_f07,那个图只有经过深入研究后才有意义。
DC_f08,特种部队从绑匪手中解救人质。
DC_f09,当罗杰的牙掉了时，牙仙忘记来了。
DC_f10,罗宾会戴黄色的百合花吗？
DC_f11,他们的道具是两把梯子、一把椅子和一把蒲扇。
DC_f12,这是一个远远超出薪资和任期问题的问题。
DC_f13,香烟的闪烁光芒。
DC_f14,俯视一片树叶的海洋，一朵花的破浪。
DC_f15,通过认识到它不是什么，我们将获得对它更生动的理解。
DC_h01,她整年都把你的深色西装放在油腻的洗衣单里。
DC_h02,不要让我去拿那种油腻的抹布。
DC_h03,你能告诉我为什么吗？
DC_h04,那些音乐家配合得非常和谐。
DC_h05,东海岸是一个充满纯粹乐趣和刺激的地方。
DC_h06,这个噪音问题每天都变得越来越烦人。
DC_h07,项目开发进展得太慢了。
DC_h08,绿洲是海市蜃楼。
DC_h09,你的成绩比南希的高还是低？
DC_h10,在我加油后上冷色拉。
DC_h11,由此，人们感到磁力与电力一样普遍。
DC_h12,他的艺术成就使他能够进入任何社交聚会。
DC_h13,他不会带公文包。
DC_h14,显然，这对新婚夫妇在他们的新局面中有许多需要调整的地方。
DC_h15,无论是条件还是共谋，都在相当详细中得到了记录。
DC_n01,她把你的深色西装整年都放在满是油污的洗水里。
DC_n02,别让我提那样一块油乎乎的抹布。
DC_n03,你能告诉我为什么吗？
DC_n04,学习的最佳方式是解决额外的问题。
DC_n05,钙使骨骼和牙齿坚固。
DC_n06,灾难性的经济削减忽视了穷人。
DC_n07,在这里留有余地，但要合理解释所有错误。
