name,text
F01A01, دیگه نمیتونم تحمل کنم.
F01A02, نمی دونم از دست شما باید چی کار کنم
F01A03, برای اینکه همه فکر میکنن مادرت زن بیادبی و اصلا نمیدونه چجوری باید پسرشو به مهمونی بفرسته فهمیدی؟
F01A04, شما بچه ها چه کاره ای که نمی کنین؟
F01A05, موضوع حرف رو چرا عوض میکنی؟
F01A06, منو مسخره خودت کردی؟
F01A07, من احمق سادر بگو که رو حرفی تو اصابه باز کردم
F01A08, این نامه تو کله فامیل به تنبالی معروفه بعد من ساده فکر میکنم راست میگه
F01A09, بشین صابونتو بخور
F01A10, میرم پیش همسایه
F01A11, سه ساله تموم برای اون ازاداری کنن
F01A12, آدم اینکه قادره یه شهر رو به خاک و خون بکشه و نابود کنه
F01A13, بنافشه کمرنگ
F01A14, فقط ها این اندازه خبر دارم که مربوط به سهام کارخونه است
F01A15, اونا را هم توی صندق خونت انبار کردی
F01A16, من خوب می دونم که چقدر به پول نیاز داری
F01A17, اما دن اون به این منطقه آخرش کار دسته هممون میده
F01A18, من اجازه نمی دهم اون چیزایی به این گرونی را با عنوان حدی اصلا قبول کنه
F01A19, تو شلا به هیچی نزدی
F01A20, شوخی خوبی نیست
F01A21, کجا میخوایی بری؟
F01A22, ساکت سر کی داد می کشی؟
F01A23, با دست خودت گور خودتو کندی آقا مهران
F01F01, فکر میکنی کار کی باشه
F01F02, نمیتونم
F01F03, آره خودشه؟
F01H01, الان میارم برات عزیزم
F01H02, فیلش کنه میخواد تا خود قطب جنوبم بره
F01H03, نگفتا
F01H04, حالی سیاه استعداد واقعی خودشو بکار انداخته
F01H05, حالا دیگه از سراسر سیدنی برای خرید کلاه به اون مرقاضه میان
F01H06, مشتریهاش روز به روز بیشتر میشه
F01H07, کلاهای عبریشمی و توری و حسیری اون پر زرق و برق و مدروزه
F01N01, بر اینکه کتاب دوست داری عزیزم
F01N02, من فرش دید
F01N03, باید بریم ادرسه
F01N04, سمیت کافیه
F01N05, فرمانده بازرس میل رو اینجا نمیبینم.
F01N06, بله خیلی خوب
F01N07, مذارت میخوام این کلارا با معسیس سنانسلم نسبت داره؟
F01N08, اون با چه کسی اززواج کرده؟
F01N09, پس مراسم فقط هشتیفاتی بوده تا بچهش رو پدردار کنه.
F01N10, شهرش ها لزنده است؟
F01N11, اصلا میدونین کی بوده؟
F01S01, کیه که لطونی یه سله تمام گوشه خونه بشین و درس بخونه؟
F01S02, ما که قبلنا اینجوری بودیم؟
F01S03, همه اینا تو روی بچم تأثیر میذاره دیگه
F01S04, دیگه از دستش خسته شدم
F01S05, واقعا میره؟
F01S06, در حاله که این بچه هیچی جز نراتی و برای من نداره
F01S07, من متاسفه
F01S08, حق است سد همه به دیشونه
F01S09, این گره از را قرد سینش ریست
F01S10, ولی من اصلا فکر نمی کردم که پسر من تا این حد بی رحم و سنگ دلو بیاتفه باشه
F01S11, استشده
F01S12, آقاستوست، پسرم، این بهترین چیزی بود که می دونستم و برای تارزه کردم
F01S13, آره آرزو کردم که تو محبوب همه باشید. اگرچه مطمئنم حتی اگه همه مردم تو رو دوست داشته باشن بازم هیچ کی پیدا نمیشه که تو رو به اندازه این مادرت دوست داشته باشه.
F01S14, یکیسی عزیزم خواهش میکنم چشماتو باز کن
F01S15, تو یادت میاد
F01S16, آره منم مطمئنم که بابا شهید شده
F01S17, بابا چهید شده اما تموم نشده سعی کنینو بفهمی
F01S18, آره را راحت بگو
F01S19, به خاک علی قسم میخورم. تو این هفته سال فقط انتظار کشیدم تا یه روزی دوباره لباسای علی رو ببینم که تو این ساکی بوده.
F01S20, شاید کافی نبوده.
F01S21, خیلی دوست داشت یه روزی بره کربلا اون وقتا همیشه برده زبونش کربلا بود
F01S22, مادرش را فرستاده، فرستاده که شده کلتایره.
F01S23, پدر سباسیان به من گفته بودن.
F01W01, پچی؟
