name,text
F_01_OISHI_S_1_ANGRY_1,মমাছের চাক দেখে কুকুটি ঘেউ ঘেউ করছে
F_01_OISHI_S_1_ANGRY_2,মমাছীর চাক দেখে কুকুটি ঘেউ ঘেউ করছে
F_01_OISHI_S_1_ANGRY_3,মামাছের চাক দেখে কুকুটি গেউ গেউ করছে
F_01_OISHI_S_1_ANGRY_4,মোমাছীর চাক দেখে কুকুটি গেউ গেউ করছে।
F_01_OISHI_S_1_ANGRY_5,মাছীর চাক দেখে কুকুটি ঘেউ ঘেউ করছে।
F_01_OISHI_S_1_DISGUST_1,মুমাছের চাক দেখে কুকুটে ঘেও ঘেও করছে।
F_01_OISHI_S_1_DISGUST_2,মাউমাছের চাক দেখে কুকুটি গেও গেও করছে।
F_01_OISHI_S_1_DISGUST_3,মাউমাছের চাক দেখে কুকোটি ঘেউ ঘেউ করছে
F_01_OISHI_S_1_DISGUST_4,মও আছের চাক দেখে কুকুটি ঘেও ঘেও করছে।
F_01_OISHI_S_1_DISGUST_5,মুমাছে চাক দেখে কুকুটি ঘেয় ঘেয় করছে
F_01_OISHI_S_1_FEAR_1,মোমাছের চাক দিখে কুকুটি ঘেউ ঘেউ করছে।
F_01_OISHI_S_1_FEAR_2,মোমাছের চাক দেখে কুকোটি গেয় গেয় করছে।
F_01_OISHI_S_1_FEAR_3,মুমাছের চাক দেখে কুকুটি গেও গেও করছে।
F_01_OISHI_S_1_FEAR_4,মোমাছের চাক দেখে কুকুটি ঘেও ঘেও করছে।
F_01_OISHI_S_1_FEAR_5,মোমাছের চাক দেখে কুকুটি ঘেউ ঘেউ করছে।
F_01_OISHI_S_1_HAPPY_1,মমাছের চাক দেখে কুকরটে ঘেয় ঘেয় করছে।
F_01_OISHI_S_1_HAPPY_2,মাছের চাক দেখে কুকুটি ঘেয় ঘেয় করছে
F_01_OISHI_S_1_HAPPY_3,মমাছের চাক দেখে কুকরটি ঘেও ঘেও করছে
F_01_OISHI_S_1_HAPPY_4,মাছের চাক দেখে কুকুরটি খেয় গেয় করছে।
F_01_OISHI_S_1_HAPPY_5,মমাছের চাক দেখে কুকুটি ঘেউ ঘেউ করছে।
F_01_OISHI_S_1_NEUTRAL_1,মমাছির চাক দেখে কুকুটি গেউ গেউ করছে।
F_01_OISHI_S_1_NEUTRAL_2,মমাছের চাক দেখে কুকুটি গেউ গেউ করছে।
F_01_OISHI_S_1_NEUTRAL_3,মমাছীর চাক দেখে কুকুর্টি ঘেউ ঘেউ করছে।
F_01_OISHI_S_1_NEUTRAL_4,মোমাছীর চাক দেখে কুকুরটি ঘেউ ঘেউ করছে।
F_01_OISHI_S_1_NEUTRAL_5,মমাছীর চাক দেখে কুকুটি ঘেউ ঘেউ করছে
F_01_OISHI_S_1_SAD_1,মমাছের চাগ দেখে কুকোটি ঘেও ঘেও করছে।
F_01_OISHI_S_1_SAD_2,মোমাছের চাক দেখে কুকুটি গেয় গেয় করছে।
F_01_OISHI_S_1_SAD_3,মোমাছের ছাক দেখে কুকুটি ঘেয় ঘেয় করছে
F_01_OISHI_S_1_SAD_4,মমাছের চাক দেখে কুকুটি গেয় গেয় করছে
F_01_OISHI_S_1_SAD_5,মমাছের ছাক দেখে কুকোটি গেও গেও করছে।
F_01_OISHI_S_1_SURPRISE_1,মাছের চাক দেখে কুকোটি ঘেও ঘেও করছে।
F_01_OISHI_S_1_SURPRISE_2,মাউমাছের চাক দেখে কোকোটি গেও গেও করছে।
F_01_OISHI_S_1_SURPRISE_3,মামাছের চাক দেখে কুকুটি ঘেও ঘেও করছে।
F_01_OISHI_S_1_SURPRISE_4,মামাছের চাক দেখে কুকরটি কেও কেও করছে।
F_01_OISHI_S_1_SURPRISE_5,মামাছের চাক দেখে কুকরটি ঘেও ঘেও করছে।
F_01_OISHI_S_2_ANGRY_1,তমি সব অলোট পালোট করে দিয়াছো।
F_01_OISHI_S_2_ANGRY_2,তুমি স্যাব অলট পালট করে দিয়েছো।
F_01_OISHI_S_2_ANGRY_3,তুমি সাব অলট পালোট করে দিয়ছো
F_01_OISHI_S_2_ANGRY_4,তুমি সোবলোট পালট করে দিয়েছো।
F_01_OISHI_S_2_ANGRY_5,তমিসম অলট পালট করে দিয়েছো
F_01_OISHI_S_2_DISGUST_1,তুমি সেভ পালোট পালোট করে দিয়েছো।
F_01_OISHI_S_2_DISGUST_2,তুমি সব অলট পালট করে দিয়ছো
F_01_OISHI_S_2_DISGUST_3,তুমি সপ অলট পালট করে দিয়েছো।
F_01_OISHI_S_2_DISGUST_4,তুমি সাপ অলট পালট করে দিয়েছো।
F_01_OISHI_S_2_DISGUST_5,তুমি সব অলটপালট করে দিয়ছো।
F_01_OISHI_S_2_FEAR_1,তুমি সবনেট পালেট করে দিয়ছো।
F_01_OISHI_S_2_FEAR_2,তুমি সব অলট পালট করে দেয় ছো।
F_01_OISHI_S_2_FEAR_3,তুমি সব উলট পালট করে দিয়ছো
F_01_OISHI_S_2_FEAR_4,তুমি সবলট পলট করে দিয়ছেও।
F_01_OISHI_S_2_FEAR_5,তুমি সাভালোটপালোট করে দিয়ছো
F_01_OISHI_S_2_HAPPY_1,তুমি সাব ওলোট পালোট করে দিয়েছো।
F_01_OISHI_S_2_HAPPY_2,তুমি সব অলোট পালোট করে দিয়েছো
F_01_OISHI_S_2_HAPPY_3,তুমি সব অলোট পালোট করে দিয়েছো
F_01_OISHI_S_2_HAPPY_4,তুমি সোব অলোট পালোট করে দিয়েছো
