name,text
a01 (1), Όταν γυρίσαμε το βράδυ στο δωμάτιο βρήκαμε στο κρεβάτι δύο μικρά αγατάκια.
a01 (2)," Όταν γυρίσαμε το βράδυ στο δωμάτιο, βρήκαμε στο κρεβάτι δύο μικρά γατάκια."
a01 (3)," Όταν γυρίσαμε το βράδυ στο δωμάτιο, βρήκαμε στο κρεβάτι δύο μικρά γατάκια."
a01 (4)," Όταν γυρίσαμε το βράδυ στο δωμάτιο, βρήκαμε στο κρεβάτι δύο μικρά γατάκια."
a01 (5)," Όταν γυρίσαμε το βράδυ στο δωμάτιο, βρήκαμε στο κρεβάτι δύο μικρά γατάκια."
a01 (6)," Όταν γυρίσαμε το βράδυ στο δωμάτιο, βρήκαμε στο κρεβάτι δύο μικρά αγατάκια."
a02 (1)," Δηλαδή, παρόλα όσα έγιναν, η Ραχήλ έδωσε στην κόρη της το όνομα της γιαγιάς της."
a02 (2), Δηλαδή παρόλο όσα έγιναν η Ραχήλ έδωσε στην κόρη της το όνομα της γιαγιάς της.
a02 (3)," Δηλαδή παρόλα όσα έγιναν, η Ραχήλε δώσε στην κόρη της το όνομα της γιαγιάς της."
a02 (4)," Δηλαδή, παρόλα όσα έγιναν, η Ραχήλ έδωσε στην κόρη της το όνομα της γιαγιάς της."
a02 (5)," Δηλαδή, παρόλα όσα έγιναν, η Ραχίλη έδωσε στην κόρη της το όνομα της γιαγιάς της."
a02 (6)," Δηλαδή, παρόλα όσα έγιναν, η Ραχήλ έδωσε στην κόρη της το όνομα της γιαγιάς της."
a03 (1), Στο εξής θα σας αφήνω τα ψώνια έξω από την πόρτα σας κάθε πέντη απόγευμα.
a03 (2), Στο εξής θα σας αφήνω τα ψώνια σας έξω από την πόρτα σας κάθε πέμπτη απόγευμα.
a03 (3), Στο εξής θα σας αφήνω τα ψώνια έξω από την πόρτα σας κάθε πέμπτη απόγευμα.
a03 (4), Στο εξής θα σας αφήνω τα ψώνια έξω από την πόρτα σας κάθε πέμπτη απόγευμα.
a03 (5), Στο εξής θα σας αφήνω τα ψώνια έξω από την πόρτα σας κάθε πέμπτη απόγευμα.
a03 (6), Στο εξής θα αφήνω τα ψώνια έξω από την πόρτα σας κάθε πέμπτη απόγευμα.
a04 (1)," Όχι, μη μου πεις. Έλα να περπατήσουμε λίγο."
a04 (2)," Όχι! Όχι, μη μου πεις! Έλα να περπατήσουμε λίγο!"
a04 (3)," Όχι, όχι μη μου πεις. Έλα να περπατήσουμε λίγο."
a04 (4)," Όχι, όχι, μη μου πεις. Έλα να περπατήσουμε λίγο."
a04 (5)," Όχι, όχι, μη μου πεις. Έλα να περπατήσουμε λίγο."
a04 (6)," «Όχι, όχι, μη μου πεις. Έλα να περπατήσουμε λίγο»."
a05 (1), Είπα στον Πολ να μην με παίρνει τηλέφωνο στο γραφείο.
a05 (2), Είπα στον Πόλ να μην με παίρνει τηλέφωνο στο γραφείο.
a05 (3), Είπα στον Πολ να μην με παίρνει τηλέφωνο στο γραφείο.
a05 (4), Είπα στον Πολ να μην με παίρνει τηλέφωνο στο γραφείο.
a05 (5), Είπα στον Μπολ να μην με παίρνει τηλέφωνο στο γραφείο.
a05 (6), Είπα στον Πολ να μην με παίρνει τηλέφωνο στο γραφείο.
a06 (1)," Βέβαια, μέσα σε αυτό το τρομερό κομφούζιο, ένα πράγμα είναι μόνο καθαρό."
a06 (2), Βέβαια μέσα σε αυτό το τρομερό κομφούζιο ένα πράγμα είναι μόνο καθαρό.
a06 (3), Βέβαια μέσα σε αυτό το τρομερό κομφούζιο ένα πράγμα μόνο είναι καθαρό.
a06 (4), Βέβαια μέσα σε αυτό το τρομερό κομφούζιο ένα πράγμα μόνο είναι καθαρό.
a06 (5)," Βέβαια. Μέσα σε αυτό το τρομερό κομφούζιο, ένα πράγμα μόνο είναι καθαρό."
a06 (5)b, Στο εξής θα σας αφήνω τα ψώνια έξω από την πόρτα σας κάθε πέμπτη απόγευμα.
a06 (6), Ε βέβαια μέσα σε αυτό το τρομερό κομφούζιο ένα μόνο πράγμα είναι καθαρό.
a07 (1)," Άρα, τώρα έχεις την άνεση να παντρευτείς."
a07 (2), Άρα τώρα έχεις την άνεση να παντρευτείς.
a07 (3), Άρα τώρα έχεις την άνεση να παντρευτείς.
a07 (4)," Άρα, τώρα έχεις την άνεση να παντρευτείς."
a07 (5), Άρα τώρα έχεις την άνεση να παντρευτείς.
a07 (6), Άρα τώρα έχεις την άνεση να παντρευτείς.
a08 (1), Όχι. Μερικές φορές βγαίνω με κάτι συναδέρφους από τη δουλειά.
a08 (2)," Όχι, μερικές φορές βγαίνω με κάτι συναδέλφους από τη δουλειά."
a08 (3), Όχι. Μερικές φορές βγαίνω με κάτι συναδέλφους από τη δουλειά.
a08 (4), Όχι. Μερικές φορές βγαίνω με κάτι συναδέλφους από τη δουλειά.
a08 (5), Όχι. Μερικές φορές βγαίνω με κάτι συναδέλφους από τη δουλειά.
a08 (6)," Όχι, μερικές φορές βλέπω κάποιους συναδέλφους από τη δουλειά."
a09 (1)," Μπορεί να μην θυμάμαι πως έγινε η περιτομή μου, αλλά σίγουρα έγινε."
a09 (2)," Μπορεί να μην θυμάμαι πώς έγινε η περίτομή μου, αλλά σίγουρα έγινε."
a09 (3)," Μπορεί να μην θυμάμαι πώς έγινε η περιτομή μου, αλλά σίγουρα έγινε."
a09 (4)," Μπορεί να μην θυμάμαι πώς έγινε η περίτομή μου, αλλά σίγουρα έγινε."
a09 (5)," Μπορεί να μην θυμάται πώς έγινε η περιτομή μου, αλλά σίγουρα έγινε!"
a09 (6)," Μπορεί να μην θυμάμαι πως έγινε η περίτομή μου, αλλά σίγουρα έγινε."
