name,english
F_01_OISHI_S_1_ANGRY_1, He is making a noise seeing the fish's food.
F_01_OISHI_S_1_ANGRY_2, Mom is making a mess of the kitchen.
F_01_OISHI_S_1_ANGRY_3, Momachi is making a fool of herself.
F_01_OISHI_S_1_ANGRY_4, The cock is growling at the sight of the fish.
F_01_OISHI_S_1_ANGRY_5, The cuckoo is singing in the presence of the dead fish.
F_01_OISHI_S_1_DISGUST_1, The cuckoo is singing on the fish's song.
F_01_OISHI_S_1_DISGUST_2, The cat is making noise seeing the fish.
F_01_OISHI_S_1_DISGUST_3, The crocodile is making noise seeing the fish.
F_01_OISHI_S_1_DISGUST_4, The cat is purring at the sight of the cat's food.
F_01_OISHI_S_1_DISGUST_5, The cat is making noise seeing the fish.
F_01_OISHI_S_1_FEAR_1, The cock is growling at the sight of the fish.
F_01_OISHI_S_1_FEAR_2, The cuckoo is singing in the air.
F_01_OISHI_S_1_FEAR_3, The cuckoo is cawing at the sight of the fish.
F_01_OISHI_S_1_FEAR_4, The cuckoo is singing in the air.
F_01_OISHI_S_1_FEAR_5, The cuckoo is singing on the tree.
F_01_OISHI_S_1_HAPPY_1, Moma is making a noise seeing the fish.
F_01_OISHI_S_1_HAPPY_2, The cat is making noise seeing the fish's food.
F_01_OISHI_S_1_HAPPY_3," Seeing the fish's appetite, the cuckoo is singing."
F_01_OISHI_S_1_HAPPY_4," Seeing the fish's appetite, the cuckoo is singing."
F_01_OISHI_S_1_HAPPY_5, The cuckoo is singing to the tune of the peacock.
F_01_OISHI_S_1_NEUTRAL_1," Seeing the fish's beak, the cuckoo is singing."
F_01_OISHI_S_1_NEUTRAL_2," Seeing the cat's appetite, the cat is purring."
F_01_OISHI_S_1_NEUTRAL_3, The cuckoo is singing to the sound of the peacock.
F_01_OISHI_S_1_NEUTRAL_4," Seeing the fish's bite, the cuckoo is singing."
F_01_OISHI_S_1_NEUTRAL_5," Seeing the fish's bite, the cuckoo is howling."
F_01_OISHI_S_1_SAD_1, Mom is making a fuss seeing the fish.
F_01_OISHI_S_1_SAD_2, The cuckoo is singing in the presence of the fish.
F_01_OISHI_S_1_SAD_3," Seeing the fish's food, the cuckoo is singing."
F_01_OISHI_S_1_SAD_4, Mom is crying because of the food.
F_01_OISHI_S_1_SAD_5," Seeing the face of the fish, the cuckoo is singing."
F_01_OISHI_S_1_SURPRISE_1," Seeing the fish's appetite, the cuckoo is singing."
F_01_OISHI_S_1_SURPRISE_2, The cuckoo is singing in the sound of the fish.
F_01_OISHI_S_1_SURPRISE_3, The cuckoo is singing in the presence of the peacock.
F_01_OISHI_S_1_SURPRISE_4," Seeing the fish, the dog is giggling."
F_01_OISHI_S_1_SURPRISE_5, The cuckoo is singing in the air.
F_01_OISHI_S_2_ANGRY_1, You have made a mess of everything.
F_01_OISHI_S_2_ANGRY_2, You have ruined everything.
F_01_OISHI_S_2_ANGRY_3, You have made everything a mess.
F_01_OISHI_S_2_ANGRY_4, You have ruined everything.
F_01_OISHI_S_2_ANGRY_5, You have ruined everything!
F_01_OISHI_S_2_DISGUST_1, You have made everything a mess.
F_01_OISHI_S_2_DISGUST_2, You have ruined everything.
F_01_OISHI_S_2_DISGUST_3, You have ruined everything.
F_01_OISHI_S_2_DISGUST_4, You have made everything a mess.
F_01_OISHI_S_2_DISGUST_5, You have ruined everything.
F_01_OISHI_S_2_FEAR_1, You have made all the mates happy.
F_01_OISHI_S_2_FEAR_2, You have ruined everything.
F_01_OISHI_S_2_FEAR_3, You have ruined everything.
F_01_OISHI_S_2_FEAR_4, You have ruined everything.
F_01_OISHI_S_2_FEAR_5, You have ruined everything.
F_01_OISHI_S_2_HAPPY_1, You have made everything a mess.
F_01_OISHI_S_2_HAPPY_2, You have made everything so complicated.
F_01_OISHI_S_2_HAPPY_3, You have made everything so complicated.
F_01_OISHI_S_2_HAPPY_4, You have ruined everything.
F_01_OISHI_S_2_HAPPY_5, You have made everything so messy.
F_01_OISHI_S_2_NEUTRAL_1, You have made everything upside down.
F_01_OISHI_S_2_NEUTRAL_2, You have made everything a mess.
F_01_OISHI_S_2_NEUTRAL_3, You have made everything upside down.
F_01_OISHI_S_2_NEUTRAL_4, You have ruined everything.
F_01_OISHI_S_2_NEUTRAL_5, You have made everything a mess.
F_01_OISHI_S_2_SAD_1, You have ruined everything.
F_01_OISHI_S_2_SAD_2, You have made everything so complicated.
F_01_OISHI_S_2_SAD_3, You have ruined everything.
F_01_OISHI_S_2_SAD_4, You have turned everything upside down.
F_01_OISHI_S_2_SAD_5, You have turned everything upside down.
F_01_OISHI_S_2_SURPRISE_1, You have made everything upside down.
F_01_OISHI_S_2_SURPRISE_2, You have made everything so messy.
F_01_OISHI_S_2_SURPRISE_3, You have made everything upside down.
F_01_OISHI_S_2_SURPRISE_4, You have made everything upside down.
F_01_OISHI_S_2_SURPRISE_5, You have made everything so complicated.
F_01_OISHI_S_3_ANGRY_1, He has left without saying anything.
F_01_OISHI_S_3_ANGRY_2, He left without saying anything.
F_01_OISHI_S_3_ANGRY_3, He left without saying anything.
F_01_OISHI_S_3_ANGRY_4, He is going away without saying anything.
F_01_OISHI_S_3_ANGRY_5, He has left without saying anything.
F_01_OISHI_S_3_DISGUST_1, She left without saying anything.
F_01_OISHI_S_3_DISGUST_2, He left without saying anything.
F_01_OISHI_S_3_DISGUST_3, He left without saying anything.
F_01_OISHI_S_3_DISGUST_4, He left without saying anything.
F_01_OISHI_S_3_DISGUST_5, She has left without saying anything.
