name,english
a01 (1),"When we returned to the room in the evening, we found two small kittens on the bed."
a01 (2),"When we returned to the room in the evening, we found two small kittens on the bed."
a01 (3),"When we returned to the room in the evening, we found two small kittens on the bed."
a01 (4),"When we returned to the room in the evening, we found two small kittens on the bed."
a01 (5),"When we returned to the room in the evening, we found two small kittens on the bed."
a01 (6),"When we returned to the room in the evening, we found two small kittens on the bed."
a02 (1),"That is, despite everything that happened, Rachel gave her daughter her grandmother's name."
a02 (2),"That is, despite everything that happened, Rachel gave her daughter her grandmother's name."
a02 (3),"That is, despite everything that happened, Rachelle gave her daughter her grandmother's name."
a02 (4),"That is, despite everything that happened, Rachel gave her daughter the name of her grandmother."
a02 (5),"That is, despite everything that happened, Rachil gave her daughter her grandmother's name."
a02 (6),"That is, despite everything that happened, Rachel gave her daughter her grandmother's name."
a03 (1),"From now on, I will leave your groceries outside your door every Thursday afternoon."
a03 (2),"From now on, I will leave your groceries outside your door every Thursday afternoon."
a03 (3),"From now on, I will leave your groceries outside your door every Thursday afternoon."
a03 (4),"From now on, I will leave your groceries outside your door every Thursday afternoon."
a03 (5),"From now on, I will leave your shopping outside your door every Thursday afternoon."
a03 (6),"From now on, I will leave the groceries outside your door every Thursday afternoon."
a04 (1),"No, don't tell me. Come, let's take a walk for a bit."
a04 (2),"No! No, don't tell me! Let's take a little walk!"
a04 (3),"No, no, don't tell me. Let's go for a walk."
a04 (4),"No, no, don't tell me. Let's take a little walk."
a04 (5),"No, no, don't tell me. Let's take a walk."
a04 (6),"""No, no, don't tell me. Let's go for a walk."""
a05 (1),I told Paul not to call me at the office.
a05 (2),I told Paul not to call me at the office.
a05 (3),I told Paul not to call me at the office.
a05 (4),I told Paul not to call me at the office.
a05 (5),I told Bol not to call me at the office.
a05 (6),I told Paul not to call me at the office.
a06 (1),"Of course, amidst this terrible confusion, only one thing is clear."
a06 (2),"Of course, within this terrible confusion, one thing is clear."
a06 (3),"Of course, amidst this terrible confusion, one thing alone is clear."
a06 (4),"Of course, amidst this terrible confusion, only one thing is clear."
a06 (5),"Of course. In this terrible confusion, one thing only is clear."
a06 (5)b,"From now on, I will leave the groceries outside your door every Thursday afternoon."
a06 (6),"Of course, amidst this terrible confusion, one thing is clear."
a07 (1),"So, now you have the freedom to get married."
a07 (2),So now you have the comfort to get married.
a07 (3),So now you have the freedom to get married.
a07 (4),"So, now you have the freedom to marry."
a07 (5),So now you have the comfort to get married.
a07 (6),So now you have the comfort to get married.
a08 (1),No. Sometimes I go out with some colleagues from work.
a08 (2),"No, sometimes I go out with some colleagues from work."
a08 (3),No. Sometimes I go out with some colleagues from work.
a08 (4),No. Sometimes I go out with some colleagues from work.
a08 (5),No. Sometimes I go out with some colleagues from work.
a08 (6),"No, sometimes I see some colleagues from work."
a09 (1),"I may not remember how my circumcision happened, but it definitely did."
a09 (2),"I may not remember how my circumcision happened, but it definitely happened."
a09 (3),"I may not remember how my circumcision happened, but it definitely did."
a09 (4),"I may not remember how my circumcision happened, but it definitely did."
a09 (5),"He may not remember how my circumcision happened, but it definitely happened!"
a09 (6),"I may not remember how my circumcision happened, but it definitely did."
a10 (1),You tried to bend some iron.
a10 (2),You tried to bend some iron.
a10 (3),"""You tried to bend some iron."""
a10 (4),"""Did you try to bend some iron?"""
a10 (5),Try to bend some iron!
a10 (6),Did you try to bend some iron?
a11 (1),Do you remember when Salpingidis gave you half of his sandwich?
a11 (2),Do you remember when Salpingidis gave you half of his sandwich?
a11 (3),Do you remember how Alpigidis gave you half of his sandwich?
a11 (4),Do you remember how Alpigides gave you half of his sandwich?
a11 (5),Do you remember how the alpigidis gave you half of his sandwich?
a11 (6),Do you remember when Alpikidis gave you half of his sandwich!
a12 (1),The children covered us with their jackets.
a12 (2),The children covered us with their jackets.
a12 (3),The children covered us with their jackets.
a12 (4),The children covered us with their jackets!
a12 (5),The children covered us with their jackets!
a12 (6),The children covered us with their jackets!
a13 (1),"When you run out of food, I will go shopping for you."
a13 (2),"When you run out of food, I will go shopping for you."
a13 (3),"When you run out of food, I will go shopping for you."
a13 (4),"When you run out of food, I will go shopping for you."
a13 (5),"When you run out of food, I will go shopping for you."
a13 (6),"Yes, when you run out of food, I will go shopping for you."
a14 (1),"Elen, do you know the one in room 3?"
a14 (2),"Ellen, do you know about that in room 3?"
a14 (3),Come to know him in room 3.
a14 (4),"Ellen, do you know that guy in room 3?"
a14 (5),Helen! Do you know the one in room 3?
a14 (6),"Helen, do you know the one in room 3?"
a15 (1),I was standing outside and wondering who might be living in there.
a15 (2),I was standing outside and wondering who might be living in there.
a15 (3),I was standing outside and wondering who might live in there.
a15 (4),I was standing outside and wondering who might be living in there.
a15 (5),I was standing outside and wondering who might be living in there.
a15 (6),I was standing outside and wondering who might be living in there.
a16 (1),"As you said a little while ago, I neither know you, nor do you know me."
a16 (2),"As you said a little while ago, I neither know you, nor do you know me."
a16 (3),"As you said a little while ago, I neither know you, nor do you know me."
a16 (4),"As you said a little while ago, I neither know you, nor do you know me."
a16 (5),"As you said a moment ago, I don't know you, nor do you know me."
a16 (6),"As you said a little while ago, I neither know you nor do you know me."
a17 (1),"I also tried my own key, and it fits your mailbox as well."
a17 (2),"I tried my own key, and it also fits your mailbox."
a17 (3),"I tried my own key, and it fits your mailbox too!"
a17 (4),I tried my own key and it fits your mailbox too.
a17 (5),"I tried my own key, and it also fits your mailbox."
a17 (6),"I tried my key as well, and it fits your mailbox too."
a18 (1),I lived in the hotel that was directly above.
a18 (2),I lived in the hotel that was right above.
a18 (3),So you were at the hotel that was right above.
a18 (4),I lived in the hotel that was right above.
a18 (5),I lived in the hotel that was directly above.
a18 (6),I lived in the hotel that was directly above.
a19 (1),We were paid to do nothing. Just to be there.
a19 (2),"We were getting paid to do nothing, just to be there."
a19 (3),We get paid to do nothing. Just to be over there.
a19 (4),"We were getting paid to do nothing, just to be there."
a19 (5),We were getting paid to do nothing. Just to be there.
a19 (6),We were paid to do nothing. Just to sit there.
a20 (1),"What's your problem, you jerk!"
a20 (2),I'm tired of repressing myself and not eating things that smell!
a20 (3),"Which idiot made this coffee? This is tea, not coffee, for crying out loud! Seriously, how much water did you put in?"
a20 (4),"Yes, man, we liked Vembo, is there a problem?"
a20 (5),"The sea is resurrected, I am constrained. Day and night, I hold it in my hands."
a20 (6),Four days until SMAP and I haven't prepared the base yet!
d01 (1),"When we returned to the room at night, we found two small figurines on the bed."
d01 (2),"When we returned to the room in the evening, we found two small kittens on the bed."
d01 (3),"When we returned to the room in the evening, we found two small kittens on the bed."
d01 (4),"When we returned to the room in the evening, we found two small kittens on the bed."
d01 (5),"When we returned to the room in the evening, we found two small kittens on the bed."
d01 (5)b,"When we returned to the room in the evening, we found two small kittens on the bed."
d01 (6),"When we returned to the room at night, we found two small kittens on the bed."
d02 (1),"That is, despite everything that happened, Rachel gave her daughter her grandmother's name."
d02 (2),"That is, despite everything that happened, Rachelle gave her daughter her grandmother's name."
d02 (3),"That is, despite everything that happened, Rachel gave her daughter her grandmother's name."
d02 (4),"That is, despite everything that happened, Rachel gave her daughter her grandmother's name."
d02 (5),"That is, despite everything that happened, Rachel gave her daughter her grandmother's name."
d02 (6),"That is, despite everything that happened, Rachel gave her daughter the name of her grandmother."
d03 (01),"From now on, I will leave your groceries outside your door every Thursday afternoon."
d03 (2),"From now on, I will leave your groceries outside your door every Thursday afternoon."
d03 (3),"From now on, I will leave your groceries outside your door every Thursday afternoon."
d03 (4),"From now on, I will leave your groceries outside your door every Thursday afternoon."
d03 (5),"From now on, I will leave your groceries outside your door every Thursday afternoon."
d03 (5)b,"From now on, I will leave your groceries outside your door every Thursday afternoon."
d03 (6),"From now on, I will leave the groceries outside your door every Thursday afternoon."
d04 (1),"No, no, don't tell me. Let's take a walk for a bit."
d04 (2),"No, no, don't tell me. Come, let's take a walk."
d04 (3),"No, no, don't tell me. Come on, but let's walk a bit."
d04 (4),"No, no, don't tell me. Let's take a walk for a bit."
d04 (5),"No, no, don't tell me. Come, let's take a walk."
d04 (5)b,"No, no, don't tell me. Let's take a walk for a while."
d04 (6),"No, no, don't tell me, but let's walk a bit."
d05 (1),I told Paul not to call me at the office.
d05 (2),I told Paul not to call me at the office.
d05 (3),I told Paul not to call me at the office.
d05 (4),I told Bol not to call me at the office.
d05 (5),I told Bol not to call me at the office.
d05 (6),I told Bol not to call me at the office.
d06 (1),"Of course, amidst this terrible confusion, only one thing is clear."
d06 (2),"Zezaia, in this terrible confusion, one thing alone is clear."
d06 (3),"Of course, amidst this terrible chaos, one thing alone is clear."
d06 (4),"Of course, amidst this terrible confusion, only one thing is clear."
d06 (5),"Of course, amid this terrible confusion, only one thing is clear."
d06 (6),"Of course, amidst this terrible confusion, one thing is clear."
d07 (1),So now you have the freedom to get married.
d07 (2),So now you have the freedom to get married.
d07 (3),So now you have the freedom to get married.
d07 (4),So now you have the freedom to get married.
d07 (5),So now you have the comfort to get married.
d07 (6),So now you have the freedom to marry.
d08 (1),No! Sometimes I go out with some colleagues from work.
d08 (2),No. Sometimes we would go out with some colleagues from work.
d08 (3),"No, sometimes I go out with some colleagues from work."
d08 (4),"No, sometimes I go out with some colleagues from work."
d08 (5),"No, sometimes I go out with some colleagues from work."
d08 (6),"No, sometimes I see some colleagues from work."
d09 (1),"I may not remember how my circumcision happened, but it definitely happened."
d09 (2),"I may not remember how my circumcision happened, but it definitely did."
d09 (3),"I may not remember how my case happened, but it definitely did!"
d09 (4),"I may not remember how my circumcision happened, but it definitely did!"
d09 (5),"I may not remember how my incident happened, but it certainly did."
d09 (6),"I may not remember how my circumcision happened, but it definitely did."
d10 (1),"""Did you try to bend some iron?"""
d10 (2),Try to bend some iron.
d10 (3),You tried to bend some iron.
d10 (4),"""Did you try to temper some iron?"""
d10 (5),You tried to bend some iron.
d10 (6),"""Try to bend some iron."""
d11 (1),"""Do you remember when Salpingidis gave you half of his sandwich?"""
d11 (2),Do you remember how Alpikidis gave you half of his sandwich?
d11 (3),Do you remember how Alpikidis gave you half of his sandwich?
d11 (4),Do you remember when Salpingidis gave you half of his sandwich?
d11 (5),"Ah, do you remember how the alpicidi gave you half of his sandwich!"
d11 (6),Do you remember when Alpikidis gave you half of his sandwich?
d12 (1),The children covered us with their jackets.
d12 (2),The children covered us with their jackets.
d12 (3),The children covered us with their jackets.
d12 (4),The children covered us with their jackets.
d12 (5),But they covered the children with their jackets.
d12 (6),The children covered us with their jackets.
d13 (1),"When you run out of groceries, I will go shopping for you."
d13 (2),"When you run out of food, I will go to shop for you."
d13 (3),"When you run out of food, I will go shopping for you."
d13 (4),"When you run out of food, I will go shopping for you."
d13 (5),"When you run out of food, I will go and get some for you."
d13 (6),"When you run out of food, I will go and shop for you."
d14 (1),"Helen, do you know the one in room 3?"
d14 (2),"Elen, do you know this in room 3?"
d14 (3),"Helene, do you know the one in room 3?"
d14 (4),"Elen, do you know the one in room 3?"
d14 (5),"Helen, do you know the one in room 3?"
d14 (6),"Elen, do you know the one in room 3?"
d15 (1),I was standing outside and wondering who might be living in there.
d15 (2),I was standing outside and wondering who might be living in there.
d15 (3),I was standing outside and wondering who might be staying inside.
d15 (4),I stood outside and wondered who might be staying in there.
d15 (5),I was standing outside and wondering who might have stayed in there.
d15 (6),I was standing outside and wondering who might be living in there.
d16 (1),"As you said a while ago, I don't know you, nor do you know me."
d16 (2),"As you said a little while ago, neither do I know you, nor do you know me."
d16 (3),"As you said a little while ago, I neither know you, nor do you know me."
d16 (4),"As you said a little while ago, I neither know you, nor do you know me."
d16 (5),"As you said a little while ago, neither do I know you nor do you know me."
d16 (6),"As I told you a little while ago, I don't know you, nor do you know me."
d17 (1),"I also tried my own key, and it fits your mailbox as well."
d17 (2),"I also tried my key, and it fits your mailbox as well."
