name,english
F01A01,I can't bear it anymore.
F01A02,I don't know what I should do about you.
F01A03,"Because everyone thinks your mother is rude and doesn't know how to send her son to a party, do you understand?"
F01A04,What do you kids do that you don't do?
F01A05,Why are you changing the subject?
F01A06,Did you make fun of me?
F01A07,"I, stupid Sadegh, say that I opened up to your words."
F01A08,"This guy is known as lazy among the whole family, and then I naively think he's telling the truth."
F01A09,Sit down and eat your soap.
F01A10,I'm going to the neighbor.
F01A11,They have been mourning for him for three years.
F01A12,A person who is capable of turning a city to rubble and destruction.
F01A13,Light violet
F01A14,"I only know this much, that it is related to the factory shares."
F01A15,"You stored them in your home chest, too."
F01A16,I know very well how much you need money.
F01A17,But his meddling in this area will eventually cause trouble for all of us.
F01A18,I won't let them accept such expensive things as adequate at all.
F01A19,You didn’t achieve anything.
F01A20,It's not a good joke.
F01A21,"""Where do you want to go?"""
F01A22,Why are you yelling at my head quietly?
F01A23,"You dug your own grave with your own hands, Mr. Mehran."
F01F01,Who do you think did it?
F01F02,I can't
F01F03,"Yeah, that's it?"
F01H01,"I'll bring it for you now, dear."
F01H02,"If he gets an idea in his head, he’ll even want to go all the way to the South Pole."
F01H03,Did not say
F01H04,Hali Siah has utilized his true talent.
F01H05,Now people from all over Sydney come to that shop to buy hats.
F01H06,Its customers are increasing day by day.
F01H07,"Silk, lace, and straw hats are flashy and fashionable."
F01N01,"Because you love books, my dear."
F01N02,I saw a carpet.
F01N03,We have to go to the address.
F01N04,Just enough toxicity.
F01N05,I don't see Inspector Mill's commander here.
F01N06,"Yes, very good."
F01N07,"Sorry, is this Clara related to Saint Anselm?"
F01N08,Who has he/she married?
F01N09,So the ceremony was just a formality to give her child a father.
F01N10,Are its cities alive?
F01N11,Do you even know who it was?
F01S01,Who is it that can sit quietly in a corner of the house for a whole year and study?
F01S02,Were we like this before?
F01S03,All of this affects my child.
F01S04,I'm tired of him/her anymore.
F01S05,Does he/she really go?
F01S06,While this kid has nothing but hatred for me.
F01S07,I am sorry.
F01S08,It is right to block everything towards him.
F01S09,"""This knot is untied by his own will."""
F01S10,"But I never thought that my son could be so cruel, cold-hearted, and unfeeling."
F01S11,Witnessed
F01S12,"Sir, my son, this was the best thing I knew and did for you."
F01S13,"Yes, I wished for you to be loved by everyone. However, I’m sure that even if everyone loves you, no one will ever love you as much as your mother does."
F01S14,"Someone, my dear, please open your eyes."
F01S15,Do you remember?
F01S16,"Yeah, I'm also sure that dad has been martyred."
F01S17,"Dad has been removed, but it’s not over. Try to understand this."
F01S18,"Say ""yes"" easily."
F01S19,"I swear on Ali's grave. This week of the year, I just waited for the day when I could see Ali's clothes again that were in this bag."
F01S20,Maybe it wasn't enough.
F01S21,"He really wanted to go to Karbala someday; back then, Karbala was always on his lips."
F01S22,"He sent his mother, sent her to become Koltayreh."
F01S23,Sebastian's father had told me.
F01W01,Why?
F01W02,"This is a statue. I had seen its picture, but seeing it up close is something else. It's magnificent."
F01W03,I thought it was a friendly meeting for me.
F01W04,Why are you asking this?
F01W05,"""Does it mean he went in connection with the investigations of this case?"""
F01W06,"Let me see, is it possible that your damat (son-in-law) might be dead now?"
F02A01,That's enough.
F02A02,Do you have half an hour left until the end of your shift?
F02A03,"And that's how we lost everything, entirely and completely."
F02F01,Not funny
F02H01,The test result does not say anything.
F02H02,Glass is very expensive.
F02H03,I think we should be prepared for his arrival.
F02H04,What is Mr. Mimarton's specialty?
F02N01,Can you do more interesting things?
F02N02,"Gentlemen, can you tell me if you've ever been upset by the way you were treated?"
F02N03,"Well, I mean that this situation is shameful. It's terrifying."
F02N04,"Today, all of Europe is talking about how you are being treated. That’s why I came here to see it with my own eyes."
F02N05,Don't you think you could have had a better life?
F02S01,"I thought the dead need peace and solitude, and Farshav would surely return after some time."
F02S02,"I cried freely, and after that, I told myself it's completely okay."
F02S03,"I spent a period of my life with addiction, and now I have to think about my child."
F02S04,Had he/she ever done something like this before?
F02S05,You’re not paying attention to the money.
F02S06,I realized Fanoosh is not coming back anymore.
F02S07,This issue is about my own questioning and Gaza.
F02S08,That's why the police told me to consult a private investigator.
F02S09,"After a week, I reported it to the police, but it didn't lead to any results."
F02S10,"I even decided for myself that if they came back, I wouldn't look at them."
F02S11,I was afraid of losing you.
F02S12,"It means: ""My Bonn was very big."""
F02S13,"If you come back to me alone, at least I'll know that you wanted to return yourself."
F02S14,I was waiting for you all night.
F02S15,But the truth is that you can do this better than anyone else.
F02W01,Dough mixing bowl?
F02W02,What am I anymore?
F02W03,Spinning machine?
F02W04,Five hundred thousand?
F02W05,"Why do you want to cause them pain, Doctor?"
F02W06,Do you believe that feeling pain will stop them from doing this?
F03A01,"You have to say because you were the one who came to our house and proposed to me, insisting that we must get married."
F03A02,This account reflects your dissatisfaction and distress.
F03A03,You're only thinking about yourself.
F03A04,"What messes you up is not the sound of the spinning wheel, it's your own mind."
F03A05,"In your life, besides reading books and writing books, you don't believe in anything else."
F03A06,Am I not your spouse? So what about my share?
F03A07,"You read some books, you write some articles."
F03A08,"You got sick, Paul. You don't want to interact with anyone. From morning to night, you've shut yourself up in this damn house."
F03A09,Life is about rights; you derive that from writing those articles that earn you a living and have some value.
F03A10,"Ask, where is the lady?"
F03F01,"Thank you, Ghorban..."
F03F02,"You definitely want me to use Ms. Katarina's pearl earrings, of course without her knowing?"
F03F03,"Yes, at the same time"
F03H01,Now I haven't even been acquainted for ten minutes.
F03H02,Not completely
F03H03,"Of course, he has no inclination for arguing with people at all."
F03H04,"Mr. Hartright, I hope you enjoy living with us."
F03H05,"Very good, definitely, I will personally undertake this journey."
F03N01,"Yes, I can play it."
F03N02,"And now his brother, Mr. Fredak Farley, who is the one who hired you, is the owner of this house."
F03N03,There stood a man who was supposed to be your future husband.
F03N04,"What’s the matter, Gilmar?"
F03N05,The one who is an old family friend whom I completely trust.
F03N06,In a rural house on Tadd's Corner farm
F03N07,"She was our painting and sketching instructor. Currently, she has left Limayjo and returned to London."
F03S01,I had a watch with a French brand.
F03S02,I don't know. Maybe this way some of us will get better.
F03S03,I understand.
F03S04,"The rubble of every love is a great hatred. The greater the love, the greater the hatred becomes."
F03S05,I'm sorry for the problems you encountered.
F03S06,"He is forty years old, with a burn scar on the back of his hand."
F03S07,I am writing a letter to Sir Percival Glide and will discuss the matter with him.
F03S08,"In any case, he must ask Sir Percival."
F03S09,"Dear Voltaire, I don't have such a task for anyone."
F03S10,These things you had asked for.
F03S11,I hope you have it because last night I dreamt of you.
F03S12,He's the only one who can show us the right path.
F03S13,"I am very sleepy, I am doing this work."
F03S14,You are right.
F03S15,Not only did she speak with Mr. Hartright.
F03S16,"Anyway, I think Mr. Klayt's suggestion can also help."
F03S17,From Morelestan
F03S18,Has it decreased there?
F03W01,What did you say?
F03W02,"Mr. Hossein, was that Ryan?"
F03W03,All these years?
F03W04,All these paintings?
F03W05,19 paintings?
F03W06,What does it mean?
F03W07,Ghayeri's house
F03W08,Where?
F03W09,So what?
F03W10,But what?
F04A01,"Keep these toxic thoughts to yourself, sir."
F04A02,This type of personal rule is something I hate.
F04A03,"Sir, you did not understand what I meant. The issue is not about who is right. Sir, I am entrusting you to tell my daughter that Conte is right, no matter who the truth is with."
F04A04,"So, I must be wrong."
F04A05,What Telo? Ely?
F04A06,"I am his mother, and I command you to deceive him."
F04A07,"Goodbye, Mr. Mobasheri, who has never been anyone's steward until now."
F04A08,I wanted to see what right gave you permission to impose this agent on us.
F04A09,The reason is that I want you yourself to give this gift.
F04A10,"This damned steward can stay with you as long as you want, but he will never become our son-in-law."
F04A11,"Mr. Remy, why are you speaking so rudely?"
F04A12,Are my words useless?
F04A13,You've talked enough.
F04A14,"""But regarding his audacity, I have said and will say again that Mr. Lawyer is very bold, and I'm right."""
F04A15,"My daughter, Mr. Remi is not involved in this matter. Leave this man alone and take the matter a bit more seriously."
F04A16,"Your servants do not paint your picture. Your servants do not spend their time watching a painting made of you. Your servants do not put on a romantic and sad face, girl."
F04N01,Who did you work for before?
F04N02,"My daughter's ex-husband was a man who amassed great wealth and left a significant fortune for my daughter. Therefore, Mrs. Count Darimon owes nothing to Mr. Count Darimon."
F05A01,Helping and lady
F05A02,This is how we raised the kid; you should have been there to see how eagerly and excitedly Ziaar put on work clothes to clean the house.
F05A03,What should I say?
F05N01,He came to the doorstep of the father-in-law's house of the lawyer.
F05N02,"Now, however, what remains unknown to Amir is who knew how to get Gholam Reza to Morteza?"
F05N03,"This is the title of a show presented to you, loyal fans and listeners of radio shows, in sixty episodes."
F05N04,"This performance is a blend of pure imagination and sheer reality, an imagination that more closely resembles a wish—a wish for the fair recording of events lost over time."
F05N05,"Dear ones, I invite you to listen to the first episode of this show."
F05N06,"We heard that Amir Shafaq, a young man in need of a heart donation who had been under care and on the transplant waiting list for years, became tired and hopeless of this long wait three months ago, deciding to give up waiting and spend the rest of his life with his friends and his fiancée Mahtab, enjoying his time."
F05N07,"But at one of the gatherings Amir organizes for this purpose, he feels unwell and eventually, at his mother's insistence, gets hospitalized."
F05N08,"In the previous two episodes of this show, we heard that Amir Shafaq, a wealthy young man and the sole heir to his father, had been on the transplant waiting list for years due to a heart condition."
F05N09,"On the other hand, we heard that Amir Reza Sharifi, a veteran athlete with an organ donation card, had an accident upon leaving the gym and passed away."
F05N10,Amir Reza's heart is placed in Amir's chest.
F05N11,This donation is made on the condition of the donor remaining anonymous.
F05N12,"In the previous episodes of the profile, we heard that Amir Reza Sharifi's heart would be transplanted under the condition of anonymity to Amir Shafaq, who has been on the organ donation waiting list for years. However, over time, Amir, in conversations with his mother and friends, reveals information about the eight-year war."
