name,text
SF10_F1_S01, موت بڑھاک ہے تو کیوں
SF10_F2_S02, ایسی موت ہوں جس سے دنیا یاد رکھیں
SF11_F1_S03, لیکن آج تک نہیں پتا
SF11_F2_S04, نہیں پتا چل رہا ہمیں
SF11_F3_S05, کمیس کموز میں دعا لوگ ملین تو سوچیں
SF11_F4_S06, چاہیے ان کی شکلیں تو دیکھیں
SF1_F10_H010, وہ گوشت کھانا چھوڑ دیں اگر آپ کو پانی دیکھ چکے ہو اس کے بعد ہم
SF1_F11_H011, ایک یہ تو لفظ
SF1_F12_H012, بڑا استعمال ہوتا ہے کہ یار اس حوالے سے مجھے جو ایسا
SF1_F1_H01, تو میں اوپر سے ملتان گئی ہوں تو وہ
SF1_F2_H02, تو کیمرہ میں نے جیسے فکس کیا ہے نے میرے پہ کیمرہ
SF1_F3_H03, تو اب بہت
SF1_F4_H04, بہت لمبی بریکنگ تھی اب میں تھگ گی بول بول کے میں کہہ رہی ہوں کالے بات
SF1_F5_H05, جس طرح سے بریک لے
SF1_F6_H06, کر دیں آپ انکر گھانس رہی ہے
SF1_F7_H07, تو وہ لگتا ہے کہ یار اتنی سکیل
SF1_F8_H08, شکیل اردو اور سارا اکثر لوگوں سے جب ہم بات کرتے ہیں
SF1_F9_H09, بلکل نہیں کہوں گی کہ جو بھی سن رہے ہیں
SF2_F1_H013, محمد آمیر کا پیکٹنگ
SF2_F2_H014, پیکج چل رہا تھا اور وہ پیکج ختم ہوا اور میں نے کہا
SF3_F1_H015, یا کبھی ایسا ہوا جیسے بڑی
SF3_F2_H016, موسیق بج رہا ہے بریکنگ نیوز ابھی میں نے مو کھولا
SF4_F1_H017, مجھے ہمیشہ حریت پہ کال کرتے ہیں
SF4_F2_H018, اور امی یہ کہتی ہے کہ تم اس عید میں بھی نہیں آ رہی ہو
SF4_F3_H019, وہ بہت لمبی بریکنگ تھی اب میں تھگی بھولتا ہوں
SF4_F4_H020, بول بول کے میں کہہ رہی ہوں کہ کالے بادل چھا رہے ہیں کالے بادل آ رہے ہیں
SF5_F1_H021, اممہ سے سیاسی ڈسکشن ہو رہا ہے
SF5_F2_H022, بقاعدہ وہ حجت کر رہی ہوتی ہیں کہ نہیں میں بتاؤں گی
