name,chinese
SF10_F1_S01,如果死亡是巨大的，那又为什么呢？
SF10_F2_S02,这种死亡会让世界铭记我。
SF11_F1_S03,但是到现在还不知道。
SF11_F2_S04,我们不知道。
SF11_F3_S05,如果衬衫和内衣中有百万人的祈祷，那就想想吧
SF11_F4_S06,应该看看他们的样子。
SF1_F10_H010,如果你看到水后就停止吃肉，然后我们
SF1_F11_H011,一个这就是词语。
SF1_F12_H012,这方面我常用的朋友是这样。
SF1_F1_H01,所以我从上面去了木尔坦然后他/它
SF1_F2_H02,我像固定相机一样把相机对准了自己。
SF1_F3_H03,所以现在很多
SF1_F4_H04,在这种漫长的跟踪之后，我已经累了。我说打电话给我。
SF1_F5_H05,以何种方式刹车
SF1_F6_H06,对不起，我无法处理这个请求。
SF1_F7_H07,所以看起来你真是那么有才华。
SF1_F8_H08,沙基尔乌尔都和萨拉经常与人交谈时
SF1_F9_H09,绝对不会说，听到的人。
SF2_F1_H013,穆罕默德·阿米尔的打包
SF2_F2_H014,程序正在运行，当程序结束时，我说
SF3_F1_H015,或者有时感觉就像大事件。
SF3_F2_H016,音乐正在播放，插播新闻我刚刚开口。
SF4_F1_H017,他们总是给我打电话询问自由。
SF4_F2_H018,妈妈说你这次节日也不回来。
SF4_F3_H019,他记得这是一个很长的休息时间，现在我慢慢忘记了疲惫。
SF4_F4_H020,我不断地说，乌云正在聚集，乌云正在到来。
SF5_F1_H021,正在和妈妈进行政治讨论。
SF5_F2_H022,通常她们会坚持要发声。
SF5_F3_H023,我妈妈对我的抱怨是我放弃了。
SF5_F4_H024,你不吃肉的话，会贫血的。
SF6_F10_H034,但这不怪我，它们是我们厨房的多余品。
SF6_F11_H035,我不想早上七点起床去跑步。
SF6_F12_H036,然后我的生活将像什么那样被毁灭。
SF6_F13_H037,没有，这是顺势疗法药物，收益。
SF6_F14_H038,未造成损害
SF6_F1_H025,我说我没有时间做节目。
SF6_F2_H026,我将在哪里制作衣服，六个中我该怎么做，然后这个再。
SF6_F3_H027,然后我说早上不知道。
SF6_F4_H028,你是否有这种调皮的心情？
SF6_F5_H029,我们的厨房有出口。
SF6_F6_H030,他们不知道显然他们是男孩不知道要保持什么。
SF6_F7_H031,当胡马伊和阿伊莎来的时候，我所做的
SF6_F8_H032,他们做的煎饼已经烧成了灰烬。
SF6_F9_H033,在一个网站上吃了剩饭。
SF7_F1_H039,只是她在那里叹气，那是她的错。
SF7_F2_H040,理解他，把他带出去，现在就把他抬起来。
SF7_F3_H041,看着我是我是我我说过。
SF7_F4_H042,这是什么正在发生的事情，为病人做了一些新的事情。
SF7_F5_H043,音乐
SF7_F6_H044,这是智慧的体现，让人心神不宁。
SF8_F1_H045,我心中曾有一个尖叫者。
SF8_F2_H046,他们会说有一天，因为我在说Ashwani的鼻音。
SF9_F1_N01,他们从一开始就学会了政治。
SF9_F2_N02,他们进行了工作的政治，没有任何发展。
SF9_F3_N03,玛沙阿拉 乔 吉斯
SF9_F4_N04,对待女性的态度也在增强。
SM17_F1_H047,声明
SM17_F2_H048,马拉雅人在迪拜的马拉雅酒店。
SM18_F1_H049,赢了什么修理说了什么
SM18_F2_H050,抱歉，我无法翻译该内容。
SM19_F1_H051,你告诉了他。
SM19_F2_H052,好，你知道的，听我说，确定这个。
SM1_F10_A010,上帝啊，这种紧张为什么会这样。
SM1_F11_A011,给我
SM1_F12_A012,我没有做过任何增加，我只是展示了卡伊德·阿咩德的演讲。
SM1_F13_A013,感觉
SM1_F14_A014,部门是我们国家的支柱。
SM1_F15_A015,巴基斯坦的
SM1_F16_A016,这是真正世界上第二好的动作。
SM1_F17_A017,所有的部门单位
SM1_F18_A018,这些都是英国人建造的，这个部门的名字是。
SM1_F19_A019,伊斯兰文化研究系
SM1_F1_A01,并且他说在那里。
SM1_F20_A020,建设和祝福它贾拉玛·穆罕默德·阿萨德。
SM1_F21_A021,糟糕的制造了这个，与此同时，拉玛对这件事感到自豪。
SM1_F22_A022,这是一家单键商店吗？
SM1_F2_A02,许多变化的情况下
SM1_F3_A03,视频
SM1_F4_A04,我们的国家
SM1_F5_A05,当第三次生命消逝时
SM1_F6_A06,那里有四十层的真实报告说这是四十。
SM1_F7_A07,这基本上是土耳其人的，还有一些其他人。
SM1_F8_A08,窗帘的衣服。
SM1_F9_A09,给我
SM20_F10_N014,从某种意义上说
SM20_F1_N05,我们在选举之前也是这样的。
SM20_F2_N06,这三十个席位将是我们的。
SM20_F3_N07,音乐
SM20_F4_N08,但未完成
SM20_F5_N09,一起聚会，也有社团。
SM20_F6_N010,民主就是这样，但
